England and Wales, Total Population, Exposure to risk (cohort 1x10)     Last modified: 03-Nov-2010, MPv5 (May07)

   Year      Age       Female          Male         Total
1810-1819      3               .            .            . 
1810-1819      4               .            .            . 
1810-1819      5               .            .            . 
1810-1819      6               .            .            . 
1810-1819      7               .            .            . 
1810-1819      8               .            .            . 
1810-1819      9               .            .            . 
1810-1819     10               .            .            . 
1810-1819     11               .            .            . 
1810-1819     12               .            .            . 
1810-1819     13               .            .            . 
1810-1819     14               .            .            . 
1810-1819     15               .            .            . 
1810-1819     16               .            .            . 
1810-1819     17               .            .            . 
1810-1819     18               .            .            . 
1810-1819     19               .            .            . 
1810-1819     20               .            .            . 
1810-1819     21               .            .            . 
1810-1819     22               .            .            . 
1810-1819     23               .            .            . 
1810-1819     24               .            .            . 
1810-1819     25               .            .            . 
1810-1819     26               .            .            . 
1810-1819     27               .            .            . 
1810-1819     28               .            .            . 
1810-1819     29               .            .            . 
1810-1819     30               .            .            . 
1810-1819     31      1287303.08   1194519.94   2481823.03 
1810-1819     32      1261914.63   1177429.09   2439343.72 
1810-1819     33      1239177.68   1162045.46   2401223.14 
1810-1819     34      1218543.34   1147816.91   2366360.25 
1810-1819     35      1198816.96   1133479.25   2332296.21 
1810-1819     36      1180489.80   1118964.24   2299454.04 
1810-1819     37      1161649.37   1103454.79   2265104.15 
1810-1819     38      1142998.37   1087599.88   2230598.25 
1810-1819     39      1124673.99   1071508.26   2196182.25 
1810-1819     40      1107070.36   1055390.28   2162460.63 
1810-1819     41      1090471.63   1039140.76   2129612.39 
1810-1819     42      1073391.31   1022346.18   2095737.50 
1810-1819     43      1057486.19   1006597.11   2064083.31 
1810-1819     44      1043219.35    992339.66   2035559.01 
1810-1819     45      1029113.18    978012.66   2007125.84 
1810-1819     46      1013513.59    961816.09   1975329.68 
1810-1819     47       995874.30    943656.82   1939531.12 
1810-1819     48       977243.08    924516.98   1901760.06 
1810-1819     49       957797.99    904550.09   1862348.08 
1810-1819     50       937762.05    883963.33   1821725.38 
1810-1819     51       916517.27    862108.52   1778625.79 
1810-1819     52       895197.39    839838.08   1735035.47 
1810-1819     53       874959.67    818194.44   1693154.11 
1810-1819     54       857558.23    798859.37   1656417.60 
1810-1819     55       841987.08    781092.91   1623079.99 
1810-1819     56       823274.91    760586.01   1583860.92 
1810-1819     57       804300.03    739412.13   1543712.16 
1810-1819     58       785489.84    717963.54   1503453.38 
1810-1819     59       765620.84    695160.35   1460781.19 
1810-1819     60       743773.16    670553.44   1414326.59 
1810-1819     61       721235.24    646140.76   1367376.01 
1810-1819     62       697232.27    620234.68   1317466.95 
1810-1819     63       673060.82    593943.90   1267004.72 
1810-1819     64       650606.02    568968.04   1219574.06 
1810-1819     65       629147.71    545231.42   1174379.13 
1810-1819     66       602339.08    518194.43   1120533.51 
1810-1819     67       574701.23    490391.04   1065092.27 
1810-1819     68       546507.97    462049.38   1008557.35 
1810-1819     69       517872.70    433201.33    951074.03 
1810-1819     70       488351.25    403988.27    892339.52 
1810-1819     71       457003.85    374573.82    831577.67 
1810-1819     72       424766.93    344457.88    769224.81 
1810-1819     73       392648.21    314484.30    707132.52 
1810-1819     74       361975.08    285902.60    647877.68 
1810-1819     75       332534.28    259053.23    591587.51 
1810-1819     76       301089.26    232060.23    533149.49 
1810-1819     77       271014.55    206302.39    477316.93 
1810-1819     78       242273.04    181738.88    424011.92 
1810-1819     79       214922.19    158436.36    373358.55 
1810-1819     80       191155.66    137417.78    328573.44 
1810-1819     81       164871.39    116140.86    281012.25 
1810-1819     82       140315.59     96547.15    236862.75 
1810-1819     83       117643.61     78668.97    196312.59 
1810-1819     84        96913.39     62498.61    159412.00 
1810-1819     85        78854.82     49102.53    127957.35 
1810-1819     86        64262.12     38975.13    103237.25 
1810-1819     87        51606.25     30440.87     82047.12 
1810-1819     88        40795.30     23365.22     64160.52 
1810-1819     89        31747.59     17617.93     49365.52 
1810-1819     90        24292.54     13032.50     37325.04 
1810-1819     91        18257.73      9454.90     27712.63 
1810-1819     92        13463.83      6703.95     20167.78 
1810-1819     93         9714.69      4615.14     14329.83 
1810-1819     94         6851.88      3105.58      9957.47 
1810-1819     95         4709.06      2042.67      6751.73 
1810-1819     96         3142.97      1262.36      4405.33 
1810-1819     97         2021.85       746.74      2768.59 
1810-1819     98         1257.09       441.50      1698.58 
1810-1819     99          748.57       251.35       999.92 
1810-1819    100          426.20       140.52       566.72 
1810-1819    101          245.98        77.73       323.71 
1810-1819    102          140.68        45.12       185.81 
1810-1819    103           81.06        22.83       103.89 
1810-1819    104           45.41        10.80        56.21 
1810-1819    105           24.39         6.15        30.54 
1810-1819    106            9.90         1.96        11.86 
1810-1819    107            1.97         0.00         1.97 
1810-1819    108            0.00         0.00         0.00 
1810-1819    109            0.00         0.00         0.00 
1810-1819    110+           0.00         0.00         0.00 
1820-1829      0               .            .            . 
1820-1829      1               .            .            . 
1820-1829      2               .            .            . 
1820-1829      3               .            .            . 
1820-1829      4               .            .            . 
1820-1829      5               .            .            . 
1820-1829      6               .            .            . 
1820-1829      7               .            .            . 
1820-1829      8               .            .            . 
1820-1829      9               .            .            . 
1820-1829     10               .            .            . 
1820-1829     11               .            .            . 
1820-1829     12               .            .            . 
1820-1829     13               .            .            . 
1820-1829     14               .            .            . 
1820-1829     15               .            .            . 
1820-1829     16               .            .            . 
1820-1829     17               .            .            . 
1820-1829     18               .            .            . 
1820-1829     19               .            .            . 
1820-1829     20               .            .            . 
1820-1829     21      1651805.22   1537826.76   3189631.98 
1820-1829     22      1640919.26   1517823.63   3158742.90 
1820-1829     23      1627404.93   1497253.96   3124658.89 
1820-1829     24      1611598.53   1476589.51   3088188.03 
1820-1829     25      1593661.74   1455896.72   3049558.46 
1820-1829     26      1571896.70   1433478.85   3005375.54 
1820-1829     27      1547345.29   1410191.99   2957537.27 
1820-1829     28      1520165.07   1386130.38   2906295.45 
1820-1829     29      1492109.77   1362857.31   2854967.08 
1820-1829     30      1465506.81   1341604.01   2807110.82 
1820-1829     31      1437698.37   1318155.64   2755854.01 
1820-1829     32      1412650.30   1297460.14   2710110.44 
1820-1829     33      1389402.28   1278799.85   2668202.13 
1820-1829     34      1367329.80   1261533.94   2628863.74 
1820-1829     35      1346273.23   1245067.50   2591340.73 
1820-1829     36      1327819.13   1230041.62   2557860.75 
1820-1829     37      1308940.50   1214348.57   2523289.07 
1820-1829     38      1289830.31   1198130.84   2487961.15 
1820-1829     39      1270348.85   1181234.96   2451583.81 
