Female exposure to risk by calendar year, age and parity
Last modified: 25/09/2014
Code Year   Age            E0x            E1x            E2x            E3x           E4px
AUT  1996    12       46195.70           0.00           0.00           0.00           0.00
AUT  1996    13       47323.49           1.98           0.00           0.00           0.00
AUT  1996    14       48263.46           9.05           0.00           0.00           0.00
AUT  1996    15       47293.65          40.22           2.05           0.00           0.00
AUT  1996    16       44396.94         170.88           6.00           0.00           0.00
AUT  1996    17       43340.67         539.51          22.65           0.50           0.00
AUT  1996    18       42378.79        1238.50          94.87           5.99           0.99
AUT  1996    19       41791.34        2412.52         264.49          26.34           1.50
AUT  1996    20       41770.12        4150.21         659.04          63.02           4.41
AUT  1996    21       42198.80        6329.20        1388.70         148.92          15.03
AUT  1996    22       40414.24        8348.13        2511.44         301.19          38.52
AUT  1996    23       39292.12       10379.65        4069.01         514.59          78.07
AUT  1996    24       38432.99       12416.80        5926.08         849.41         125.31
AUT  1996    25       36188.66       14322.53        8035.07        1286.10         184.59
AUT  1996    26       34057.59       16446.02       10700.27        1846.04         326.31
AUT  1996    27       32031.51       18147.08       13703.87        2655.96         511.23
AUT  1996    28       28665.01       18716.31       16345.43        3476.20         714.85
AUT  1996    29       25105.62       18837.94       18953.76        4410.53         965.70
AUT  1996    30       21956.29       18721.76       20816.97        5535.18        1296.59
AUT  1996    31       19970.11       19033.06       22687.67        6593.27        1708.54
AUT  1996    32       18030.33       18583.43       23972.67        7349.52        2066.78
AUT  1996    33       16416.67       17978.05       24883.59        8074.21        2486.99
AUT  1996    34       14717.84       17087.72       24639.77        8552.70        2807.42
AUT  1996    35       13319.82       16234.30       24012.29        8945.28        3145.13
AUT  1996    36       12146.60       15559.72       23509.48        9082.62        3479.42
AUT  1996    37       11199.62       14987.40       23024.02        9125.44        3610.38
AUT  1996    38       10388.73       14422.20       22392.96        9188.44        3673.98
AUT  1996    39        9897.56       14267.32       22182.43        9255.16        3892.68
AUT  1996    40        9235.13       13626.77       21429.35        9053.53        4084.31
AUT  1996    41        8352.13       12764.72       20138.28        8775.47        4062.50
AUT  1996    42        7751.93       12351.15       19391.40        8685.96        4184.07
AUT  1996    43        7350.63       12107.99       19083.66        8531.64        4368.83
AUT  1996    44        6904.81       11704.36       18612.41        8373.86        4406.54
AUT  1996    45        6618.12       11655.43       18385.75        8479.36        4732.52
AUT  1996    46        6496.33       11773.01       18597.36        8698.22        5060.62
AUT  1996    47        6767.90       12453.58       19444.32        9249.99        5472.25
AUT  1996    48        6795.75       12663.01       19268.56        9299.56        5691.78
AUT  1996    49        6495.27       12144.42       18739.92        9140.18        5941.93
AUT  1996    50        4863.04        8943.58       13510.99        6675.40        4603.89
AUT  1996    51        5859.60       10578.64       15504.02        7668.45        5434.16
AUT  1996    52        6490.54       11567.72       17118.14        8642.62        6224.87
AUT  1996    53        6133.72       10765.70       16225.58        8626.02        6483.45
AUT  1996    54        6653.73       11543.60       17423.43        9735.95        7659.89
AUT  1996    55        7189.87       12385.85       18482.50       10585.42        8391.15
AUT  1997    12       45902.41           0.00           0.00           0.00           0.00
AUT  1997    13       46263.03           1.00           0.00           0.00           0.00
AUT  1997    14       47385.95           7.88           0.00           0.00           0.00
AUT  1997    15       48274.83          35.66           0.50           0.00           0.00
AUT  1997    16       47240.76         154.29           8.19           0.51           0.00
AUT  1997    17       44147.16         480.50          33.16           0.99           0.00
AUT  1997    18       42800.91        1175.13          81.06           4.53           0.50
AUT  1997    19       41493.67        2265.37         243.71          19.50           1.51
AUT  1997    20       40413.68        3731.91         571.93          54.83           2.50
AUT  1997    21       40044.59        5579.23        1209.74         116.41          11.28
AUT  1997    22       40115.32        7721.19        2277.57         258.00          32.18
AUT  1997    23       38087.32        9573.06        3686.63         495.00          64.71
AUT  1997    24       36652.34       11504.06        5484.10         804.40         124.36
AUT  1997    25       35449.60       13476.30        7633.18        1212.46         201.06
AUT  1997    26       33055.76       15201.83        9914.02        1734.19         290.43
AUT  1997    27       30889.37       17050.12       12669.17        2406.03         469.99
AUT  1997    28       29069.02       18343.70       15771.36        3314.29         694.86
AUT  1997    29       26016.87       18593.14       18249.64        4188.09         919.26
AUT  1997    30       22802.52       18625.59       20550.39        5177.91        1201.11
AUT  1997    31       20066.65       18338.55       22065.30        6325.82        1567.89
AUT  1997    32       18427.50       18551.64       23701.67        7337.40        2005.29
AUT  1997    33       16846.07       18114.44       24704.41        7996.48        2363.63
AUT  1997    34       15507.99       17586.27       25352.58        8612.07        2777.60
AUT  1997    35       14007.99       16795.40       24952.60        8954.02        3088.29
AUT  1997    36       12792.76       15977.20       24197.25        9261.67        3392.74
AUT  1997    37       11774.00       15364.64       23594.90        9332.86        3686.27
AUT  1997    38       10917.65       14843.38       23067.37        9269.04        3780.32
AUT  1997    39       10195.05       14333.84       22408.44        9263.10        3813.00
AUT  1997    40        9763.32       14233.73       22172.29        9299.70        4006.99
AUT  1997    41        9148.01       13602.96       21422.58        9090.53        4156.86
AUT  1997    42        8300.69       12729.83       20112.97        8799.32        4098.95
AUT  1997    43        7724.59       12312.89       19362.86        8684.07        4209.32
AUT  1997    44        7333.87       12077.82       19065.09        8519.89        4381.28
AUT  1997    45        6892.56       11690.14       18588.32        8363.90        4410.51
AUT  1997    46        6607.04       11636.22       18355.24        8465.48        4731.34
AUT  1997    47        6487.82       11756.08       18573.47        8684.34        5057.46
AUT  1997    48        6752.54       12425.32       19399.71        9227.95        5461.38
AUT  1997    49        6779.51       12632.74       19222.00        9277.83        5678.17
AUT  1997    50        6478.50       12113.07       18691.54        9116.58        5926.59
AUT  1997    51        4845.32        8910.98       13461.75        6651.08        4587.11
AUT  1997    52        5837.49       10538.72       15445.52        7639.51        5413.65
AUT  1997    53        6468.20       11527.90       17059.22        8612.87        6203.44
AUT  1997    54        6112.50       10728.45       16169.43        8596.17        6461.02
AUT  1997    55        6598.69       11529.51       17598.65        9595.26        7490.94
AUT  1998    12       45199.08           0.00           0.00           0.00           0.00
AUT  1998    13       45980.35           0.49           0.00           0.00           0.00
AUT  1998    14       46315.52           7.50           0.00           0.00           0.00
AUT  1998    15       47412.15          38.52           1.47           0.00           0.00
AUT  1998    16       48258.97         147.74           6.03           0.50           0.00
AUT  1998    17       47041.43         466.45          24.99           1.52           0.51
AUT  1998    18       43702.62        1072.59          84.01           3.00           0.48
AUT  1998    19       42001.02        2142.38         205.96          11.11           0.51
AUT  1998    20       40276.24        3500.89         521.79          38.12           5.50
AUT  1998    21       38936.69        4996.37        1066.09         108.86          10.02
AUT  1998    22       38300.99        6803.26        1963.39         221.62          24.67
AUT  1998    23       38025.80        8903.24        3324.34         433.63          61.01
AUT  1998    24       35792.38       10590.50        4970.13         748.53         113.06
AUT  1998    25       34121.85       12379.31        6985.96        1146.35         197.09
AUT  1998    26       32716.99       14209.16        9337.44        1670.31         296.91
AUT  1998    27       30233.14       15699.30       11766.77        2258.33         408.15
AUT  1998    28       28135.60       17265.67       14609.09        3001.96         614.04
AUT  1998    29       26445.00       18329.11       17564.52        3991.12         879.96
AUT  1998    30       23680.38       18491.33       19818.34        4897.17        1137.66
AUT  1998    31       20836.04       18341.25       21862.61        5935.90        1421.16
AUT  1998    32       18540.52       17929.92       23037.68        7066.27        1824.83
AUT  1998    33       17210.60       18122.73       24450.86        7983.65        2280.87
AUT  1998    34       15906.49       17731.43       25246.84        8507.53        2618.58
AUT  1998    35       14802.95       17270.19       25686.06        9022.47        3031.49
AUT  1998    36       13464.34       16543.88       25164.96        9270.54        3308.12
AUT  1998    37       12387.16       15797.79       24328.24        9478.59        3586.80
AUT  1998    38       11473.96       15250.98       23648.14        9474.60        3841.13
AUT  1998    39       10707.27       14769.21       23081.86        9366.42        3892.65
AUT  1998    40       10051.83       14269.04       22413.29        9329.25        3896.96
AUT  1998    41        9674.04       14171.46       22178.94        9336.39        4061.94
AUT  1998    42        9095.83       13560.89       21408.23        9104.87        4191.37
AUT  1998    43        8271.05       12699.61       20086.98        8805.29        4117.57
AUT  1998    44        7707.57       12290.67       19333.48        8678.69        4218.59
AUT  1998    45        7319.13       12057.46       19037.44        8507.51        4384.64
AUT  1998    46        6879.47       11672.99       18559.04        8353.59        4406.99
AUT  1998    47        6595.92       11618.43       18326.65        8452.54        4725.59
AUT  1998    48        6475.74       11733.69       18538.89        8667.67        5049.04
AUT  1998    49        6735.60       12394.15       19351.05        9204.80        5447.68
AUT  1998    50        6764.08       12604.00       19178.27        9256.72        5665.25
AUT  1998    51        6458.53       12075.74       18633.93        9088.48        5908.33
AUT  1998    52        4830.74        8884.18       13421.26        6631.07        4573.31
AUT  1998    53        5819.20       10505.69       15397.12        7615.57        5396.69
AUT  1998    54        6446.65       11489.51       17002.39        8584.18        6182.78
AUT  1998    55        6195.99       10922.40       16260.55        8427.66        6081.38
AUT  1999    12       45249.68           0.00           0.00           0.00           0.00
AUT  1999    13       45315.16           1.00           0.00           0.00           0.00
AUT  1999    14       46109.99           4.97           0.50           0.00           0.00
AUT  1999    15       46400.48          35.04           0.50           0.00           0.00
AUT  1999    16       47465.99         138.74           4.90           0.00           0.00
AUT  1999    17       48137.65         452.36          21.13           0.51           0.00
AUT  1999    18       46632.48        1074.50          75.00           4.61           0.52
AUT  1999    19       42955.93        2026.51         218.21          12.04           1.00
AUT  1999    20       40911.64        3364.76         498.72          33.94           2.03
AUT  1999    21       38907.58        4774.11         988.69          96.00          10.55
AUT  1999    22       37387.34        6221.60        1736.98         215.26          20.11
AUT  1999    23       36532.95        7980.85        2880.99         386.45          45.23
AUT  1999    24       35932.19        9980.52        4512.13         679.11         108.71
AUT  1999    25       33499.04       11517.85        6358.19        1075.77         183.17
AUT  1999    26       31651.28       13177.20        8539.95        1574.44         288.70
AUT  1999    27       30104.23       14774.30       11040.03        2169.43         420.73
AUT  1999    28       27721.11       16007.45       13533.58        2811.75         551.07
AUT  1999    29       25719.07       17377.77       16337.49        3616.90         791.20
AUT  1999    30       24188.22       18285.55       19190.37        4649.74        1106.87
AUT  1999    31       21761.74       18250.17       21198.24        5555.31        1380.08
AUT  1999    32       19290.89       17961.11       23001.81        6572.18        1667.19
AUT  1999    33       17343.54       17489.80       23900.77        7649.69        2088.02
AUT  1999    34       16269.80       17753.96       25073.33        8492.83        2545.63
AUT  1999    35       15153.23       17408.60       25666.97        8933.61        2859.54
AUT  1999    36       14242.72       17013.43       25958.88        9376.61        3254.06
AUT  1999    37       13039.38       16358.04       25330.19        9515.83        3483.35
AUT  1999    38       12058.63       15686.97       24432.95        9641.38        3743.64
AUT  1999    39       11245.85       15172.26       23700.21        9595.34        3974.25
AUT  1999    40       10558.68       14704.42       23111.24        9449.45        3985.65
AUT  1999    41        9949.90       14230.71       22412.49        9377.94        3962.06
AUT  1999    42        9609.23       14147.24       22174.40        9348.82        4110.78
AUT  1999    43        9061.00       13542.65       21405.71        9097.14        4223.13
AUT  1999    44        8249.26       12686.98       20078.46        8800.41        4133.03
AUT  1999    45        7696.86       12279.60       19321.44        8672.36        4226.40
AUT  1999    46        7308.75       12041.85       19013.40        8497.69        4382.31
AUT  1999    47        6869.54       11658.69       18537.23        8343.36        4402.07
AUT  1999    48        6586.35       11602.97       18299.97        8442.41        4719.09
AUT  1999    49        6462.77       11709.70       18501.25        8650.82        5039.42
AUT  1999    50        6720.02       12364.97       19306.80        9182.50        5436.09
AUT  1999    51        6748.20       12574.41       19133.24        9234.49        5652.45
AUT  1999    52        6444.34       12049.20       18592.99        9068.51        5895.34
AUT  1999    53        4817.66        8860.12       13384.92        6613.12        4560.93
AUT  1999    54        5801.33       10473.44       15349.84        7592.19        5380.12
AUT  1999    55        6441.16       11604.24       17071.46        8393.49        6033.70
AUT  2000    12       45797.01           0.00           0.00           0.00           0.00
AUT  2000    13       45381.99           1.00           0.00           0.00           0.00
AUT  2000    14       45490.64           5.51           0.00           0.00           0.00
AUT  2000    15       46205.01          36.31           0.99           0.50           0.00
AUT  2000    16       46457.32         148.69           4.00           0.50           0.00
AUT  2000    17       47321.49         457.26          19.27           0.00           0.00
AUT  2000    18       47718.83        1082.04          69.99           2.02           0.00
AUT  2000    19       45930.93        2076.74         201.75           8.19           1.55
AUT  2000    20       41947.40        3276.21         483.35          27.34           3.00
AUT  2000    21       39577.43        4659.31         954.40          88.80           8.11
AUT  2000    22       37466.04        5958.76        1655.26         201.82          22.20
