Cumulative cohort fertility rates by birth order (horizontal parallelograms
Last modified: 25/09/2014
Code Cohort  Age     CCFR     CCFR1     CCFR2     CCFR3     CCFR4    CCFR5p
AUT  1974    16     0.002     0.002     0.000     0.000     0.000     0.000
AUT  1974    17     0.009     0.009     0.000     0.000     0.000     0.000
AUT  1974    18     0.028     0.026     0.002     0.000     0.000     0.000
AUT  1974    19     0.059     0.053     0.005     0.000     0.000     0.000
AUT  1974    20     0.105     0.092     0.012     0.001     0.000     0.000
AUT  1974    21     0.162     0.136     0.023     0.002     0.000     0.000
AUT  1974    22     0.226     0.181     0.040     0.005     0.000     0.000
AUT  1974    23     0.302     0.230     0.063     0.008     0.001     0.000
AUT  1974    24     0.383     0.278     0.091     0.013     0.002     0.000
AUT  1974    25     0.471     0.326     0.122     0.020     0.003     0.000
AUT  1974    26     0.563     0.374     0.155     0.028     0.004     0.001
AUT  1974    27     0.659     0.423     0.191     0.037     0.006     0.001
AUT  1974    28     0.756     0.470     0.229     0.047     0.009     0.002
AUT  1974    29     0.858     0.515     0.269     0.059     0.011     0.003
AUT  1974    30     0.958     0.557     0.310     0.073     0.015     0.004
AUT  1974    31     1.054     0.596     0.347     0.087     0.019     0.005
AUT  1974    32     1.145     0.632     0.383     0.101     0.023     0.007
AUT  1974    33     1.231     0.665     0.416     0.115     0.026     0.009
AUT  1974    34     1.307     0.692     0.446     0.128     0.031     0.010
AUT  1974    35     1.377     0.715     0.475     0.140     0.035     0.012
AUT  1974    36     1.439     0.735     0.501     0.151     0.039     0.014
AUT  1974    37         .         .         .         .         .         .
AUT  1974    38         .         .         .         .         .         .
AUT  1974    39         .         .         .         .         .         .
AUT  1974    40         .         .         .         .         .         .
AUT  1974    41         .         .         .         .         .         .
AUT  1974    42         .         .         .         .         .         .
AUT  1974    43         .         .         .         .         .         .
AUT  1974    44         .         .         .         .         .         .
AUT  1974    45         .         .         .         .         .         .
AUT  1974    46         .         .         .         .         .         .
AUT  1974    47         .         .         .         .         .         .
AUT  1974    48         .         .         .         .         .         .
AUT  1974    49         .         .         .         .         .         .
AUT  1974    50         .         .         .         .         .         .
AUT  1974    51         .         .         .         .         .         .
AUT  1974    52         .         .         .         .         .         .
