Census-based period fertility tables, birth orders 1 to 5+
Last modified: 25/09/2014
Code Year     x       w0x       m1x       q1x     l0x    b1x     L0x   Sb1x       w1x       m2x       q2x    l1x    b2x     L1x   Sb2x       w2x       m3x       q3x    l2x    b3x     L2x   Sb3x       w3x       m4x       q4x    l3x    b4x     L3x   Sb4x       w4x      m5px      q5px    l4x   b5px     L4x  Sb5px
AUT  1991    53   0.11988   0.00000   0.00000    2254      0    2254   7746   0.18281   0.00000   0.00000   2638      0    2638   5109   0.29309   0.00000   0.00000   3385      0    3385   1724   0.19834   0.00000   0.00000   1241      0    1241    483   0.20589   0.00000   0.00000    483      0     483    179
AUT  1991    54   0.12169   0.00000   0.00000    2254      0    2254   7746   0.18154   0.00000   0.00000   2638      0    2638   5109   0.28580   0.00000   0.00000   3385      0    3385   1724   0.19464   0.00000   0.00000   1241      0    1241    483   0.21633   0.00000   0.00000    483      0     483    179
AUT  1991    55+  0.12253   0.00000   0.00000    2254      0    2254   7746   0.18449   0.00000   0.00000   2638      0    2638   5109   0.28202   0.00000   0.00000   3385      0    3385   1724   0.19025   0.00000   0.00000   1241      0    1241    483   0.22070   0.00000   0.00000    483      0     483    179
AUT  2001    12-  1.00000   0.00000   0.00000   10000      0   10000      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
AUT  2001    13   0.99998   0.00002   0.00002   10000      0   10000      0   0.00002         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
AUT  2001    14   0.99942   0.00018   0.00018   10000      2    9999      0   0.00058   0.00000   0.00000      0      0       1      0   0.00001         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
AUT  2001    15   0.99821   0.00178   0.00178    9998     18    9989      2   0.00177   0.01238   0.01231      2      0      11      0   0.00002         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
AUT  2001    16   0.99489   0.00487   0.00486    9980     48    9956     20   0.00496   0.01302   0.01294     20      1      44      0   0.00016   0.00000   0.00000      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
AUT  2001    17   0.98619   0.01065   0.01060    9932    105    9879     68   0.01314   0.04552   0.04451     67      5     119      1   0.00067   0.00000   0.00000      1      0       2      0   0.00001         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
AUT  2001    18   0.97040   0.01880   0.01862    9827    183    9735    173   0.02760   0.05495   0.05348    167     14     254      6   0.00193   0.03231   0.03179      6      0      10      0   0.00006         .         .      0      0       0      0   0.00001         .         .      0      0       0      0
AUT  2001    19   0.94630   0.02775   0.02737    9644    264    9512    356   0.04862   0.06160   0.05976    336     28     458     20   0.00481   0.05887   0.05719     20      2      29      0   0.00021   0.09496   0.09066      0      0       1      0   0.00006         .         .      0      0       0      0
AUT  2001    20   0.91243   0.03770   0.03700    9380    347    9206    620   0.07615   0.09949   0.09478    572     71     719     48   0.01059   0.07543   0.07269     46      5      72      2   0.00069   0.17763   0.16314      2      1       3      0   0.00015   0.00000   0.00000      0      0       0      0
AUT  2001    21   0.86879   0.04349   0.04257    9032    384    8840    968   0.10721   0.11594   0.10959    848    115     993    120   0.02178   0.06428   0.06228    112     10     155      7   0.00197   0.08746   0.08380      7      1      10      1   0.00025   0.08721   0.08357      1      0       1      0
AUT  2001    22   0.82026   0.05003   0.04881    8648    422    8437   1352   0.13722   0.12823   0.12050   1117    162    1261    235   0.03800   0.07546   0.07272    218     21     277     17   0.00408   0.08524   0.08176     16      2      23      2   0.00045   0.04842   0.04728      2      0       2      0
AUT  2001    23   0.77011   0.05622   0.05468    8226    450    8001   1774   0.16363   0.13548   0.12689   1377    205    1515    397   0.05806   0.05765   0.05604    358     25     436     38   0.00712   0.05801   0.05637     35      3      44      4   0.00108   0.14100   0.13171      4      1       5      0
AUT  2001    24   0.71780   0.06364   0.06168    7776    480    7536   2224   0.18736   0.13661   0.12788   1622    240    1758    602   0.08089   0.06682   0.06466    538     42     625     63   0.01206   0.09212   0.08806     57      7      72      6   0.00189   0.09048   0.08657      6      1       9      1
AUT  2001    25   0.65777   0.06965   0.06731    7297    491    7051   2703   0.21203   0.14511   0.13529   1861    287    1981    842   0.10878   0.06813   0.06589    737     57     839    105   0.01830   0.06358   0.06162     92      7     114     13   0.00312   0.07847   0.07550     13      1      16      2
AUT  2001    26   0.59427   0.08217   0.07893    6805    537    6537   3195   0.23291   0.14853   0.13826   2065    325    2191   1130   0.14197   0.06099   0.05918    967     66    1081    162   0.02580   0.07407   0.07142    142     12     166     20   0.00505   0.08322   0.07989     20      2      25      3
