Crude birth rate
Last modified: 25/09/2014
Code Year      CBR
DEUTNP  1994     9.46
DEUTNP  1995     9.37
DEUTNP  1996     9.72
DEUTNP  1997     9.90
DEUTNP  1998     9.57
DEUTNP  1999     9.39
DEUTNP  2000     9.33
DEUTNP  2001     8.92
DEUTNP  2002     8.72
DEUTNP  2003     8.57
DEUTNP  2004     8.55
DEUTNP  2005     8.32
DEUTNP  2006     8.17
DEUTNP  2007     8.32
DEUTNP  2008     8.31
DEUTNP  2009     8.12
DEUTNP  2010     8.29
DEUTW  1956    16.01
DEUTW  1957    16.60
DEUTW  1958    16.62
DEUTW  1959    17.30
DEUTW  1960    17.41
DEUTW  1961    17.99
DEUTW  1962    17.89
DEUTW  1963    18.31
DEUTW  1964    18.29
DEUTW  1965    17.71
DEUTW  1966    17.63
DEUTW  1967    17.02
DEUTW  1968    16.10
DEUTW  1969    14.85
DEUTW  1970    13.27
DEUTW  1971    12.71
DEUTW  1972    11.37
DEUTW  1973    10.26
DEUTW  1974    10.09
DEUTW  1975     9.71
DEUTW  1976     9.80
DEUTW  1977     9.48
DEUTW  1978     9.40
DEUTW  1979     9.48
DEUTW  1980    10.08
DEUTW  1981    10.13
DEUTW  1982    10.08
DEUTW  1983     9.67
DEUTW  1984     9.55
DEUTW  1985     9.60
DEUTW  1986    10.25
DEUTW  1987    10.49
DEUTW  1988    11.01
DEUTW  1989    10.96
DEUTW  1990    11.55
DEUTW  1991    11.31
DEUTW  1992    11.15
DEUTW  1993    11.00
DEUTW  1994    10.52
DEUTW  1995    10.33
DEUTW  1996    10.60
DEUTW  1997    10.72
DEUTW  1998    10.25
DEUTW  1999     9.95
DEUTW  2000     9.80
DEUTW  2001     9.33
DEUTW  2002     9.08
DEUTW  2003     8.87
DEUTW  2004     8.79
DEUTW  2005     8.53
DEUTW  2006     8.32
DEUTW  2007     8.43
DEUTW  2008     8.37
DEUTW  2009     8.15
DEUTW  2010     8.29
DEUTE  1956    15.88
DEUTE  1957    15.62
DEUTE  1958    15.64
DEUTE  1959    16.88
DEUTE  1960    17.00
DEUTE  1961    17.56
DEUTE  1962    17.43
DEUTE  1963    17.58
DEUTE  1964    17.08
DEUTE  1965    16.51
DEUTE  1966    15.71
DEUTE  1967    14.80
DEUTE  1968    14.35
DEUTE  1969    13.99
DEUTE  1970    13.88
DEUTE  1971    13.77
DEUTE  1972    11.76
DEUTE  1973    10.62
DEUTE  1974    10.58
DEUTE  1975    10.79
DEUTE  1976    11.64
DEUTE  1977    13.31
DEUTE  1978    13.85
DEUTE  1979    14.05
DEUTE  1980    14.64
DEUTE  1981    14.20
DEUTE  1982    14.37
DEUTE  1983    13.99
DEUTE  1984    13.67
DEUTE  1985    13.67
DEUTE  1986    13.36
DEUTE  1987    13.57
DEUTE  1988    12.94
DEUTE  1989    12.01
DEUTE  1990    10.90
DEUTE  1991     6.77
DEUTE  1992     5.57
DEUTE  1993     5.09
DEUTE  1994     4.98
DEUTE  1995     5.33
DEUTE  1996     5.98
DEUTE  1997     6.45
DEUTE  1998     6.67
DEUTE  1999     6.93
DEUTE  2000     7.28
DEUTE  2001     7.11
DEUTE  2002     7.04
DEUTE  2003     7.12
DEUTE  2004     7.33
DEUTE  2005     7.22
DEUTE  2006     7.25
DEUTE  2007     7.57
DEUTE  2008     7.75
DEUTE  2009     7.67
DEUTE  2010     7.92
HUN  1950    20.94
HUN  1951    20.23
HUN  1952    19.55
HUN  1953    21.57
HUN  1954    23.02
HUN  1955    21.41
HUN  1956    19.56
HUN  1957    17.00
HUN  1958    16.03
HUN  1959    15.21
HUN  1960    14.67
HUN  1961    14.00
HUN  1962    12.93
HUN  1963    13.12
HUN  1964    13.06
HUN  1965    13.11
HUN  1966    13.62
HUN  1967    14.59
HUN  1968    15.07
HUN  1969    15.01
HUN  1970    14.71
HUN  1971    14.56
HUN  1972    14.77
HUN  1973    15.01
HUN  1974    17.82
HUN  1975    18.46
HUN  1976    17.52
HUN  1977    16.71
HUN  1978    15.77
HUN  1979    15.00
HUN  1980    13.90
HUN  1981    13.38
HUN  1982    12.53
HUN  1983    11.98
HUN  1984    11.85
HUN  1985    12.35
HUN  1986    12.20
HUN  1987    12.02
HUN  1988    11.91
HUN  1989    11.86
HUN  1990    12.11
HUN  1991    12.26
HUN  1992    11.74
HUN  1993    11.30
HUN  1994    11.18
HUN  1995    10.85
HUN  1996    10.21
HUN  1997     9.75
HUN  1998     9.48
HUN  1999     9.25
HUN  2000     9.56
HUN  2001     9.53
HUN  2002     9.53
HUN  2003     9.34
HUN  2004     9.41
HUN  2005     9.67
HUN  2006     9.92
HUN  2007     9.71
HUN  2008     9.88
HUN  2009     9.62
ISL  1963    25.95
ISL  1964    25.31
ISL  1965    24.55
ISL  1966    24.01
ISL  1967    22.17
ISL  1968    20.98
ISL  1969    20.75
ISL  1970    19.68
ISL  1971    20.75
ISL  1972    22.36
ISL  1973    21.65
ISL  1974    19.87
ISL  1975    20.11
ISL  1976    19.49
ISL  1977    18.01
ISL  1978    18.62
ISL  1979    19.82
ISL  1980    19.84
ISL  1981    18.83
ISL  1982    18.54
ISL  1983    18.44
ISL  1984    17.17
ISL  1985    15.97
ISL  1986    15.96
ISL  1987    17.05
ISL  1988    18.71
ISL  1989    18.03
ISL  1990    18.71
ISL  1991    17.58
ISL  1992    17.65
ISL  1993    17.52
ISL  1994    16.70
ISL  1995    16.00
ISL  1996    16.10
ISL  1997    15.31
ISL  1998    15.24
ISL  1999    14.78
ISL  2000    15.34
ISL  2001    14.35
ISL  2002    14.08
ISL  2003    14.31
ISL  2004    14.49
ISL  2005    14.42
ISL  2006    14.53
ISL  2007    14.64
ISL  2008    15.23
ISL  2009    15.78
ISL  2010    15.43
JPN  1947    34.65
JPN  1948    33.95
JPN  1949    33.42
JPN  1950    28.42
JPN  1951    25.55
JPN  1952    23.60
JPN  1953    21.67
JPN  1954    20.27
JPN  1955    19.58
JPN  1956    18.63
JPN  1957    17.38
JPN  1958    18.18
JPN  1959    17.71
JPN  1960    17.33
JPN  1961    16.99
JPN  1962    17.14
JPN  1963    17.40
JPN  1964    17.81
JPN  1965    18.72
JPN  1966    13.85
JPN  1967    19.49
JPN  1968    18.63
JPN  1969    18.58
JPN  1970    18.80
JPN  1971    19.21
JPN  1972    19.30
JPN  1973    19.35
JPN  1974    18.52
JPN  1975    17.14
JPN  1976    16.34
JPN  1977    15.50
JPN  1978    14.95
JPN  1979    14.25
JPN  1980    13.57
JPN  1981    13.07
JPN  1982    12.86
JPN  1983    12.72
JPN  1984    12.48
JPN  1985    11.92
JPN  1986    11.45
JPN  1987    11.10
JPN  1988    10.79
JPN  1989    10.20
JPN  1990     9.96
JPN  1991     9.95
JPN  1992     9.80
JPN  1993     9.61
JPN  1994     9.98
JPN  1995     9.55
JPN  1996     9.68
JPN  1997     9.54
JPN  1998     9.61
JPN  1999     9.39
JPN  2000     9.49
JPN  2001     9.31
JPN  2002     9.16
JPN  2003     8.91
JPN  2004     8.81
JPN  2005     8.43
JPN  2006     8.67
JPN  2007     8.64
JPN  2008     8.66
JPN  2009     8.50
