Period table mean ages at birth by birth order
Last modified: 25/09/2014
Code Year     TMAB    TMAB1    TMAB2    TMAB3    TMAB4   TMAB5p
SVK  1978    25.52    22.61    25.29    28.42    30.60    32.87
SVK  1979    25.38    22.55    25.26    28.35    30.38    32.61
SVK  1980    25.27    22.62    25.33    28.32    30.25    32.27
SVK  1981    25.35    22.73    25.40    28.36    30.28    32.52
SVK  1982    25.23    22.64    25.31    28.33    30.13    32.35
SVK  1983    25.21    22.62    25.34    28.29    30.00    32.15
SVK  1984    25.14    22.60    25.31    28.20    29.93    32.14
SVK  1985    25.09    22.54    25.29    28.20    29.95    31.94
SVK  1986    25.09    22.58    25.38    28.23    30.09    32.06
SVK  1987    25.03    22.59    25.44    28.34    29.97    31.91
SVK  1988    25.07    22.62    25.47    28.46    30.03    31.97
SVK  1989    25.08    22.69    25.57    28.34    30.05    32.23
SVK  1990    25.10    22.70    25.54    28.45    30.04    31.95
SVK  1991    25.02    22.56    25.57    28.37    30.20    32.09
SVK  1992    25.19    22.81    25.83    28.53    30.02    32.22
SVK  1993    25.34    23.04    26.04    28.72    30.14    31.95
SVK  1994    25.57    23.46    26.52    28.94    30.19    31.95
SVK  1995    25.78    23.87    26.85    29.13    30.05    31.78
SVK  1996    25.98    24.21    27.04    28.92    29.82    31.37
SVK  1997    26.20    24.49    27.31    29.14    29.61    31.27
SVK  1998    26.37    24.78    27.48    29.24    29.61    31.21
SVK  1999    26.58    25.05    27.74    29.38    29.47    30.96
SVK  2000    26.83    25.42    28.04    29.46    29.42    30.85
SVK  2001    27.02    25.71    28.28    29.44    29.13    30.65
SVK  2002    27.29    26.17    28.45    29.25    28.91    30.62
SVK  2003    27.51    26.39    28.65    29.35    28.99    30.76
SVK  2004    27.71    26.63    28.83    29.32    28.66    30.66
SVK  2005    27.97    26.95    28.99    29.46    28.89    30.83
SVK  2006    28.17    27.18    29.24    29.55    29.02    30.88
SVK  2007    28.38    27.41    29.43    29.72    28.91    31.05
SVK  2008    28.51    27.46    29.59    29.92    29.34    31.12
SVK  2009    28.67    27.53    29.70    30.12    29.44    31.29
SVN  1991    26.36    24.69    27.73    30.69    32.71    35.12
SVN  1992    26.46    24.89    27.94    30.89    33.12    34.60
SVN  1993    26.87    25.43    28.09    31.18    33.59    35.38
SVN  1994    27.09    25.63    28.36    31.15    33.54    35.51
SVN  1995    27.39    26.01    28.60    31.32    33.73    34.74
SVN  1996    27.64    26.26    28.88    31.42    33.70    34.89
SVN  1997    27.89    26.56    29.11    31.70    33.90    35.57
SVN  1998    28.22    26.92    29.49    31.96    33.92    35.71
SVN  1999    28.39    27.20    29.56    32.02    33.82    34.74
SVN  2000    28.59    27.40    29.79    31.83    33.20    34.63
SVN  2001    28.87    27.73    30.05    32.02    33.40    34.27
SVN  2002    29.20    28.13    30.33    32.42    34.03    35.29
SVN  2003    29.35    28.30    30.48    32.27    33.95    34.59
SVN  2004    29.55    28.44    30.64    32.47    33.59    35.83
SVN  2005    29.68    28.58    30.77    32.51    33.42    35.50
SVN  2006    29.89    28.71    30.91    32.76    34.59    34.97
SVN  2007    29.99    28.77    30.94    32.64    34.19    35.69
SVN  2008    30.02    28.65    30.93    32.88    34.13    35.20
SVN  2009    30.05    28.66    30.90    32.90    34.53    35.87
SWE  1970    26.96    24.34    27.51    30.95    33.27    35.51
SWE  1971    26.82    24.19    27.39    30.77    33.27    35.24
SWE  1972    26.75    24.21    27.44    30.72    33.03    35.29
SWE  1973    26.74    24.25    27.54    30.65    33.19    35.18
SWE  1974    26.69    24.30    27.50    30.53    33.03    34.88
SWE  1975    26.75    24.53    27.68    30.72    32.98    34.96
SWE  1976    26.96    24.89    27.94    30.98    33.13    35.07
SWE  1977    27.10    25.15    28.03    31.05    33.16    34.95
SWE  1978    27.35    25.48    28.25    31.08    33.05    34.60
SWE  1979    27.58    25.64    28.39    31.17    33.15    34.90
SWE  1980    27.68    25.74    28.45    31.19    33.22    34.98
SWE  1981    27.87    25.98    28.65    31.24    33.30    35.12
SWE  1982    28.03    26.19    28.76    31.30    33.42    35.14
SWE  1983    28.21    26.45    28.88    31.32    33.30    35.23
SWE  1984    28.40    26.62    28.97    31.36    33.40    35.45
SWE  1985    28.47    26.63    28.94    31.23    33.09    35.40
SWE  1986    28.49    26.61    28.90    31.20    33.20    35.25
SWE  1987    28.56    26.62    28.92    31.34    33.26    35.50
SWE  1988    28.53    26.48    28.76    31.21    33.14    35.37
SWE  1989    28.57    26.43    28.76    31.24    33.25    35.52
SWE  1990    28.56    26.29    28.62    31.16    33.10    35.27
SWE  1991    28.72    26.51    28.81    31.36    33.23    35.43
SWE  1992    28.91    26.84    29.02    31.49    33.20    35.53
SWE  1993    29.06    27.14    29.28    31.66    33.32    35.40
SWE  1994    29.23    27.42    29.55    31.93    33.62    35.75
SWE  1995    29.39    27.72    29.88    32.17    33.66    35.47
SWE  1996    29.59    28.02    30.23    32.53    33.89    35.53
SWE  1997    29.74    28.24    30.48    32.62    33.82    35.33
SWE  1998    29.99    28.51    30.72    32.84    33.95    35.50
SWE  1999    30.08    28.63    30.83    32.77    33.70    35.21
SWE  2000    30.05    28.48    30.85    32.85    33.66    35.15
SWE  2001    30.23    28.68    31.05    32.95    33.88    35.33
SWE  2002    30.23    28.59    31.06    33.01    33.88    35.15
SWE  2003    30.39    28.72    31.17    33.10    33.99    35.42
SWE  2004    30.50    28.83    31.27    33.17    34.01    35.49
SWE  2005    30.56    28.88    31.30    33.20    34.19    35.69
SWE  2006    30.59    28.84    31.29    33.29    34.33    35.56
SWE  2007    30.64    28.81    31.36    33.30    34.38    36.05
SWE  2008    30.61    28.76    31.35    33.21    34.35    35.80
SWE  2009    30.70    28.84    31.43    33.39    34.52    35.82
SWE  2010    30.74    28.86    31.42    33.36    34.40    35.85
SWE  2011    30.89    29.10    31.61    33.54    34.46    35.92
CHE  2000    29.95    28.60    30.79    32.11    33.27    35.43
CHE  2001    30.23    28.90    31.22    32.62    33.72    35.36
CHE  2002    30.31    29.01    31.27    32.63    33.76    35.52
CHE  2003    30.43    29.11    31.46    32.78    33.97    35.62
CHE  2004    30.57    29.26    31.62    32.87    34.01    35.55
CHE  2005    30.73    29.37    31.83    33.09    34.27    36.17
CHE  2006    30.85    29.50    31.92    33.21    34.33    36.15
CHE  2007    31.01    29.68    32.05    33.43    34.49    36.18
CHE  2008    31.14    29.82    32.15    33.41    34.41    36.65
CHE  2009    31.31    29.96    32.34    33.62    34.71    36.54
CHE  2010    31.38    30.06    32.39    33.64    34.75    36.22
CHE  2011    31.55    30.25    32.56    33.80    34.75    36.10
TWN  2006    29.71    28.85    30.77    31.92    31.57    31.23
TWN  2007    30.05    29.19    31.14    32.25    31.76    31.43
TWN  2008    30.33    29.49    31.45    32.49    32.05    31.91
TWN  2009    30.64    29.84    31.77    32.93    32.36    32.03
TWN  2010    31.10    30.38    32.29    33.15    32.31    31.84
USA  1963    26.57    22.30    24.68    27.18    29.36    32.94
USA  1964    26.58    22.49    24.92    27.44    29.62    33.12
USA  1965    26.48    22.70    25.26    27.85    30.01    33.34
USA  1966    26.28    22.73    25.44    28.12    30.29    33.44
USA  1967    26.18    22.84    25.58    28.26    30.36    33.32
USA  1968    26.09    22.95    25.76    28.38    30.36    33.22
USA  1969    26.03    22.91    25.76    28.33    30.21    32.90
USA  1970    25.93    22.85    25.71    28.22    30.03    32.63
USA  1971    25.88    23.07    25.94    28.33    29.99    32.53
USA  1972    25.83    23.31    26.24    28.63    30.13    32.54
USA  1973    25.81    23.51    26.37    28.66    30.06    32.35
USA  1974    25.79    23.66    26.38    28.58    29.94    32.11
USA  1975    25.84    23.81    26.48    28.55    29.79    31.96
USA  1976    25.94    24.00    26.59    28.55    29.75    31.82
USA  1977    25.95    24.00    26.52    28.41    29.70    31.76
USA  1978    26.01    24.13    26.63    28.39    29.61    31.63
USA  1979    26.02    24.09    26.57    28.33    29.62    31.68
USA  1980    26.01    24.03    26.55    28.28    29.61    31.67
USA  1981    26.10    24.13    26.68    28.38    29.71    31.78
USA  1982    26.18    24.22    26.72    28.38    29.76    31.84
USA  1983    26.26    24.34    26.85    28.45    29.80    31.91
USA  1984    26.36    24.43    26.95    28.51    29.81    31.95
USA  1985    26.39    24.42    26.94    28.48    29.83    31.98
USA  1986    26.46    24.48    27.04    28.53    29.81    32.01
USA  1987    26.54    24.53    27.11    28.56    29.81    31.98
USA  1988    26.57    24.51    27.11    28.51    29.71    31.91
USA  1989    26.54    24.39    27.01    28.38    29.54    31.78
USA  1990    26.53    24.29    26.97    28.32    29.51    31.82
USA  1991    26.50    24.24    26.96    28.28    29.48    31.82
USA  1992    26.57    24.33    27.06    28.39    29.60    32.01
USA  1993    26.63    24.34    27.17    28.62    29.91    32.31
USA  1994    26.70    24.35    27.30    28.86    30.24    32.65
USA  1995    26.82    24.45    27.49    29.10    30.50    32.95
USA  1996    26.97    24.63    27.67    29.21    30.54    32.91
USA  1997    27.10    24.81    27.81    29.30    30.57    32.91
USA  1998    27.19    24.93    27.86    29.31    30.56    32.92
USA  1999    27.30    25.05    27.98    29.42    30.66    32.99
USA  2000    27.44    25.16    28.08    29.50    30.76    33.05
USA  2001    27.60    25.37    28.26    29.66    30.90    33.17
USA  2002    27.75    25.55    28.45    29.81    31.01    33.22
USA  2003    27.90    25.71    28.60    29.95    31.12    33.27
USA  2004    27.98    25.81    28.66    29.97    31.10    33.24
USA  2005    28.01    25.86    28.67    29.94    31.11    33.25
USA  2006    27.95    25.78    28.53    29.80    30.98    33.17
USA  2007    27.98    25.80    28.54    29.81    31.01    33.22
USA  2008    28.10    25.97    28.69    29.96    31.15    33.28
USA  2009    28.27    26.22    28.93    30.19    31.35    33.43
USA  2010    28.51    26.55    29.25    30.49    31.60    33.62
UKR  1979    25.46    22.58    27.33    30.38    31.95    34.62
UKR  1980    25.32    22.46    27.27    30.29    31.83    34.45
UKR  1981    25.43    22.59    27.28    30.35    31.74    34.48
UKR  1982    25.35    22.51    27.09    30.06    31.62    34.33
UKR  1983    25.43    22.41    26.82    29.91    31.63    34.25
UKR  1984    25.30    22.31    26.74    29.92    31.63    34.26
UKR  1985    25.28    22.40    26.74    29.87    31.58    34.21
UKR  1986    25.40    22.34    26.61    29.96    31.82    34.43
UKR  1987    25.29    22.33    26.61    29.97    31.85    34.46
UKR  1988    25.13    22.24    26.62    29.91    31.71    34.35
UKR  1989    24.99    22.29    26.69    29.87    31.66    34.27
UKR  1990    24.79    22.24    26.70    29.64    31.35    33.99
UKR  1991    24.69    22.25    26.73    29.48    30.97    33.68
UKR  1992    24.61    22.34    26.78    29.36    30.87    33.46
UKR  1993    24.66    22.58    26.90    29.27    30.70    33.44
UKR  1994    24.67    22.76    27.03    29.22    30.62    33.33
UKR  1995    24.67    22.90    27.06    29.06    30.35    33.00
UKR  1996    24.72    23.07    27.13    29.00    30.27    32.88
UKR  1997    24.90    23.36    27.30    29.13    30.37    32.95
UKR  1998    25.06    23.62    27.43    29.22    30.45    32.99
UKR  1999    25.30    24.00    27.62    29.37    30.57    33.06
UKR  2000    25.35    24.04    27.72    29.55    30.69    33.24
UKR  2001    25.58    24.29    27.96    29.84    30.88    33.36
UKR  2002    25.69    24.31    28.02    29.91    31.08    33.43
UKR  2003    25.86    24.38    28.17    30.17    31.24    33.45
UKR  2004    25.97    24.39    28.33    30.38    31.38    33.57
UKR  2005    26.21    24.60    28.53    30.53    31.52    33.64
UKR  2006    26.37    24.59    28.45    30.56    31.67    33.80
UKR  2007    26.49    24.64    28.51    30.68    31.84    34.04
UKR  2008    26.63    24.54    28.48    30.70    31.89    33.95
UKR  2009    26.86    24.71    28.60    30.88    32.14    34.26
