Cumulative cohort fertility rates (horizontal parallelograms
Last modified: 25/09/2014
Code Cohort  Age     CCFR
CZE  1976    53         .
CZE  1976    54         .
CZE  1976    55         .
CZE  1977    12     0.000
CZE  1977    13     0.000
CZE  1977    14     0.000
CZE  1977    15     0.000
CZE  1977    16     0.001
CZE  1977    17     0.007
CZE  1977    18     0.021
CZE  1977    19     0.051
CZE  1977    20     0.097
CZE  1977    21     0.155
CZE  1977    22     0.220
CZE  1977    23     0.288
CZE  1977    24     0.365
CZE  1977    25     0.447
CZE  1977    26     0.536
CZE  1977    27     0.633
CZE  1977    28     0.737
CZE  1977    29     0.847
CZE  1977    30     0.965
CZE  1977    31     1.089
CZE  1977    32     1.202
CZE  1977    33     1.305
CZE  1977    34     1.394
CZE  1977    35         .
CZE  1977    36         .
CZE  1977    37         .
CZE  1977    38         .
CZE  1977    39         .
CZE  1977    40         .
CZE  1977    41         .
CZE  1977    42         .
CZE  1977    43         .
CZE  1977    44         .
CZE  1977    45         .
CZE  1977    46         .
CZE  1977    47         .
CZE  1977    48         .
CZE  1977    49         .
CZE  1977    50         .
CZE  1977    51         .
CZE  1977    52         .
CZE  1977    53         .
CZE  1977    54         .
CZE  1977    55         .
CZE  1978    12     0.000
CZE  1978    13     0.000
CZE  1978    14     0.000
CZE  1978    15     0.000
CZE  1978    16     0.002
CZE  1978    17     0.006
CZE  1978    18     0.019
CZE  1978    19     0.043
CZE  1978    20     0.084
CZE  1978    21     0.135
CZE  1978    22     0.192
CZE  1978    23     0.254
CZE  1978    24     0.320
CZE  1978    25     0.397
CZE  1978    26     0.481
CZE  1978    27     0.577
CZE  1978    28     0.682
CZE  1978    29     0.796
CZE  1978    30     0.920
CZE  1978    31     1.046
CZE  1978    32     1.161
CZE  1978    33     1.265
CZE  1978    34         .
CZE  1978    35         .
CZE  1978    36         .
CZE  1978    37         .
CZE  1978    38         .
CZE  1978    39         .
CZE  1978    40         .
CZE  1978    41         .
CZE  1978    42         .
CZE  1978    43         .
CZE  1978    44         .
CZE  1978    45         .
CZE  1978    46         .
CZE  1978    47         .
CZE  1978    48         .
CZE  1978    49         .
CZE  1978    50         .
CZE  1978    51         .
CZE  1978    52         .
CZE  1978    53         .
CZE  1978    54         .
CZE  1978    55         .
CZE  1979    12     0.000
CZE  1979    13     0.000
CZE  1979    14     0.000
CZE  1979    15     0.000
CZE  1979    16     0.001
CZE  1979    17     0.005
CZE  1979    18     0.016
CZE  1979    19     0.039
CZE  1979    20     0.077
CZE  1979    21     0.123
CZE  1979    22     0.173
CZE  1979    23     0.230
CZE  1979    24     0.293
CZE  1979    25     0.363
CZE  1979    26     0.447
CZE  1979    27     0.540
CZE  1979    28     0.647
CZE  1979    29     0.769
CZE  1979    30     0.894
CZE  1979    31     1.020
CZE  1979    32     1.135
CZE  1979    33         .
CZE  1979    34         .
CZE  1979    35         .
CZE  1979    36         .
CZE  1979    37         .
CZE  1979    38         .
CZE  1979    39         .
CZE  1979    40         .
CZE  1979    41         .
CZE  1979    42         .
CZE  1979    43         .
CZE  1979    44         .
CZE  1979    45         .
CZE  1979    46         .
CZE  1979    47         .
CZE  1979    48         .
CZE  1979    49         .
CZE  1979    50         .
CZE  1979    51         .
CZE  1979    52         .
CZE  1979    53         .
CZE  1979    54         .
CZE  1979    55         .
CZE  1980    12     0.000
CZE  1980    13     0.000
CZE  1980    14     0.000
CZE  1980    15     0.000
CZE  1980    16     0.001
CZE  1980    17     0.006
CZE  1980    18     0.016
CZE  1980    19     0.037
CZE  1980    20     0.072
CZE  1980    21     0.114
CZE  1980    22     0.163
CZE  1980    23     0.216
CZE  1980    24     0.275
CZE  1980    25     0.344
CZE  1980    26     0.424
CZE  1980    27     0.517
CZE  1980    28     0.629
CZE  1980    29     0.747
CZE  1980    30     0.872
CZE  1980    31     0.992
CZE  1980    32         .
CZE  1980    33         .
CZE  1980    34         .
CZE  1980    35         .
CZE  1980    36         .
CZE  1980    37         .
CZE  1980    38         .
CZE  1980    39         .
CZE  1980    40         .
CZE  1980    41         .
CZE  1980    42         .
CZE  1980    43         .
CZE  1980    44         .
CZE  1980    45         .
CZE  1980    46         .
CZE  1980    47         .
CZE  1980    48         .
CZE  1980    49         .
CZE  1980    50         .
CZE  1980    51         .
CZE  1980    52         .
CZE  1980    53         .
CZE  1980    54         .
CZE  1980    55         .
CZE  1981    12     0.000
CZE  1981    13     0.000
CZE  1981    14     0.000
CZE  1981    15     0.000
CZE  1981    16     0.001
CZE  1981    17     0.005
CZE  1981    18     0.015
CZE  1981    19     0.034
CZE  1981    20     0.064
CZE  1981    21     0.103
CZE  1981    22     0.146
CZE  1981    23     0.195
CZE  1981    24     0.250
CZE  1981    25     0.313
CZE  1981    26     0.392
CZE  1981    27     0.488
CZE  1981    28     0.593
CZE  1981    29     0.712
CZE  1981    30     0.833
CZE  1981    31         .
CZE  1981    32         .
CZE  1981    33         .
CZE  1981    34         .
CZE  1981    35         .
CZE  1981    36         .
CZE  1981    37         .
CZE  1981    38         .
CZE  1981    39         .
CZE  1981    40         .
CZE  1981    41         .
CZE  1981    42         .
CZE  1981    43         .
CZE  1981    44         .
CZE  1981    45         .
CZE  1981    46         .
CZE  1981    47         .
CZE  1981    48         .
CZE  1981    49         .
CZE  1981    50         .
CZE  1981    51         .
CZE  1981    52         .
CZE  1981    53         .
CZE  1981    54         .
CZE  1981    55         .
CZE  1982    12     0.000
CZE  1982    13     0.000
CZE  1982    14     0.000
CZE  1982    15     0.000
CZE  1982    16     0.001
CZE  1982    17     0.005
CZE  1982    18     0.014
CZE  1982    19     0.030
CZE  1982    20     0.057
CZE  1982    21     0.093
CZE  1982    22     0.135
CZE  1982    23     0.181
CZE  1982    24     0.233
CZE  1982    25     0.298
CZE  1982    26     0.380
CZE  1982    27     0.474
CZE  1982    28     0.579
CZE  1982    29     0.693
CZE  1982    30         .
CZE  1982    31         .
CZE  1982    32         .
CZE  1982    33         .
CZE  1982    34         .
CZE  1982    35         .
CZE  1982    36         .
CZE  1982    37         .
CZE  1982    38         .
CZE  1982    39         .
CZE  1982    40         .
CZE  1982    41         .
CZE  1982    42         .
CZE  1982    43         .
CZE  1982    44         .
CZE  1982    45         .
CZE  1982    46         .
CZE  1982    47         .
CZE  1982    48         .
CZE  1982    49         .
CZE  1982    50         .
CZE  1982    51         .
CZE  1982    52         .
CZE  1982    53         .
CZE  1982    54         .
CZE  1982    55         .
CZE  1983    12     0.000
CZE  1983    13     0.000
CZE  1983    14     0.000
CZE  1983    15     0.000
CZE  1983    16     0.001
CZE  1983    17     0.005
CZE  1983    18     0.013
CZE  1983    19     0.029
CZE  1983    20     0.055
CZE  1983    21     0.089
CZE  1983    22     0.129
CZE  1983    23     0.174
CZE  1983    24     0.227
CZE  1983    25     0.294
CZE  1983    26     0.372
CZE  1983    27     0.464
CZE  1983    28     0.563
CZE  1983    29         .
CZE  1983    30         .
CZE  1983    31         .
CZE  1983    32         .
CZE  1983    33         .
CZE  1983    34         .
CZE  1983    35         .
CZE  1983    36         .
CZE  1983    37         .
CZE  1983    38         .
CZE  1983    39         .
CZE  1983    40         .
CZE  1983    41         .
CZE  1983    42         .
CZE  1983    43         .
CZE  1983    44         .
CZE  1983    45         .
CZE  1983    46         .
CZE  1983    47         .
CZE  1983    48         .
CZE  1983    49         .
CZE  1983    50         .
CZE  1983    51         .
CZE  1983    52         .
CZE  1983    53         .
CZE  1983    54         .
CZE  1983    55         .
CZE  1984    12     0.000
CZE  1984    13     0.000
CZE  1984    14     0.000
CZE  1984    15     0.000
CZE  1984    16     0.001
CZE  1984    17     0.004
CZE  1984    18     0.013
CZE  1984    19     0.028
CZE  1984    20     0.054
CZE  1984    21     0.088
CZE  1984    22     0.127
CZE  1984    23     0.173
CZE  1984    24     0.228
CZE  1984    25     0.292
CZE  1984    26     0.369
CZE  1984    27     0.453
CZE  1984    28         .
CZE  1984    29         .
CZE  1984    30         .
CZE  1984    31         .
CZE  1984    32         .
CZE  1984    33         .
CZE  1984    34         .
CZE  1984    35         .
CZE  1984    36         .
CZE  1984    37         .
CZE  1984    38         .
CZE  1984    39         .
CZE  1984    40         .
CZE  1984    41         .
CZE  1984    42         .
CZE  1984    43         .
CZE  1984    44         .
CZE  1984    45         .
CZE  1984    46         .
CZE  1984    47         .
CZE  1984    48         .
CZE  1984    49         .
CZE  1984    50         .
CZE  1984    51         .
CZE  1984    52         .
CZE  1984    53         .
CZE  1984    54         .
CZE  1984    55         .
CZE  1985    12     0.000
CZE  1985    13     0.000
CZE  1985    14     0.000
CZE  1985    15     0.000
CZE  1985    16     0.001
CZE  1985    17     0.005
CZE  1985    18     0.014
CZE  1985    19     0.031
CZE  1985    20     0.054
CZE  1985    21     0.087
CZE  1985    22     0.125
CZE  1985    23     0.172
CZE  1985    24     0.225
CZE  1985    25     0.287
CZE  1985    26     0.357
CZE  1985    27         .
CZE  1985    28         .
CZE  1985    29         .
CZE  1985    30         .
CZE  1985    31         .
CZE  1985    32         .
CZE  1985    33         .
CZE  1985    34         .
CZE  1985    35         .
CZE  1985    36         .
CZE  1985    37         .
CZE  1985    38         .
CZE  1985    39         .
CZE  1985    40         .
CZE  1985    41         .
CZE  1985    42         .
CZE  1985    43         .
CZE  1985    44         .
CZE  1985    45         .
CZE  1985    46         .
CZE  1985    47         .
CZE  1985    48         .
CZE  1985    49         .
CZE  1985    50         .
CZE  1985    51         .
CZE  1985    52         .
CZE  1985    53         .
CZE  1985    54         .
CZE  1985    55         .
CZE  1986    12     0.000
CZE  1986    13     0.000
CZE  1986    14     0.000
CZE  1986    15     0.000
CZE  1986    16     0.001
CZE  1986    17     0.005
CZE  1986    18     0.014
CZE  1986    19     0.029
CZE  1986    20     0.052
CZE  1986    21     0.084
CZE  1986    22     0.123
CZE  1986    23     0.170
CZE  1986    24     0.223
CZE  1986    25     0.283
CZE  1986    26         .
CZE  1986    27         .
CZE  1986    28         .
CZE  1986    29         .
CZE  1986    30         .
CZE  1986    31         .
CZE  1986    32         .
CZE  1986    33         .
CZE  1986    34         .
CZE  1986    35         .
CZE  1986    36         .
CZE  1986    37         .
CZE  1986    38         .
CZE  1986    39         .
CZE  1986    40         .
CZE  1986    41         .
CZE  1986    42         .
CZE  1986    43         .
CZE  1986    44         .
CZE  1986    45         .
CZE  1986    46         .
CZE  1986    47         .
CZE  1986    48         .
CZE  1986    49         .
CZE  1986    50         .
CZE  1986    51         .
CZE  1986    52         .
CZE  1986    53         .
CZE  1986    54         .
CZE  1986    55         .
CZE  1987    12     0.000
CZE  1987    13     0.000
CZE  1987    14     0.000
CZE  1987    15     0.000
CZE  1987    16     0.001
CZE  1987    17     0.005
CZE  1987    18     0.014
CZE  1987    19     0.030
CZE  1987    20     0.055
CZE  1987    21     0.090
CZE  1987    22     0.130
CZE  1987    23     0.176
CZE  1987    24     0.225
CZE  1987    25         .
CZE  1987    26         .
CZE  1987    27         .
CZE  1987    28         .
CZE  1987    29         .
CZE  1987    30         .
CZE  1987    31         .
CZE  1987    32         .
CZE  1987    33         .
CZE  1987    34         .
CZE  1987    35         .
CZE  1987    36         .
CZE  1987    37         .
CZE  1987    38         .
CZE  1987    39         .
CZE  1987    40         .
CZE  1987    41         .
CZE  1987    42         .
CZE  1987    43         .
CZE  1987    44         .
CZE  1987    45         .
CZE  1987    46         .
CZE  1987    47         .
CZE  1987    48         .
CZE  1987    49         .
CZE  1987    50         .
CZE  1987    51         .
CZE  1987    52         .
CZE  1987    53         .
CZE  1987    54         .
CZE  1987    55         .
CZE  1988    12     0.000
CZE  1988    13     0.000
CZE  1988    14     0.000
CZE  1988    15     0.001
CZE  1988    16     0.002
CZE  1988    17     0.006
CZE  1988    18     0.015
CZE  1988    19     0.031
CZE  1988    20     0.057
CZE  1988    21     0.092
CZE  1988    22     0.133
CZE  1988    23     0.176
CZE  1988    24         .
CZE  1988    25         .
CZE  1988    26         .
CZE  1988    27         .
CZE  1988    28         .
CZE  1988    29         .
CZE  1988    30         .
CZE  1988    31         .
CZE  1988    32         .
CZE  1988    33         .
CZE  1988    34         .
CZE  1988    35         .
CZE  1988    36         .
CZE  1988    37         .
CZE  1988    38         .
CZE  1988    39         .
CZE  1988    40         .
CZE  1988    41         .
CZE  1988    42         .
CZE  1988    43         .
CZE  1988    44         .
CZE  1988    45         .
CZE  1988    46         .
CZE  1988    47         .
CZE  1988    48         .
CZE  1988    49         .
CZE  1988    50         .
CZE  1988    51         .
CZE  1988    52         .
CZE  1988    53         .
CZE  1988    54         .
CZE  1988    55         .
CZE  1989    12     0.000
CZE  1989    13     0.000
CZE  1989    14     0.000
CZE  1989    15     0.000
CZE  1989    16     0.001
CZE  1989    17     0.005
CZE  1989    18     0.013
CZE  1989    19     0.028
CZE  1989    20     0.053
CZE  1989    21     0.086
CZE  1989    22     0.124
CZE  1989    23         .
CZE  1989    24         .
CZE  1989    25         .
CZE  1989    26         .
CZE  1989    27         .
CZE  1989    28         .
CZE  1989    29         .
CZE  1989    30         .
CZE  1989    31         .
CZE  1989    32         .
CZE  1989    33         .
CZE  1989    34         .
CZE  1989    35         .
CZE  1989    36         .
CZE  1989    37         .
CZE  1989    38         .
CZE  1989    39         .
CZE  1989    40         .
CZE  1989    41         .
CZE  1989    42         .
CZE  1989    43         .
CZE  1989    44         .
CZE  1989    45         .
CZE  1989    46         .
CZE  1989    47         .
CZE  1989    48         .
CZE  1989    49         .
CZE  1989    50         .
CZE  1989    51         .
CZE  1989    52         .
CZE  1989    53         .
CZE  1989    54         .
CZE  1989    55         .
CZE  1990    12     0.000
CZE  1990    13     0.000
CZE  1990    14     0.000
CZE  1990    15     0.000
CZE  1990    16     0.002
CZE  1990    17     0.005
CZE  1990    18     0.015
CZE  1990    19     0.031
CZE  1990    20     0.056
CZE  1990    21     0.088
CZE  1990    22         .
CZE  1990    23         .
CZE  1990    24         .
CZE  1990    25         .
CZE  1990    26         .
CZE  1990    27         .
CZE  1990    28         .
CZE  1990    29         .
CZE  1990    30         .
CZE  1990    31         .
CZE  1990    32         .
CZE  1990    33         .
CZE  1990    34         .
CZE  1990    35         .
CZE  1990    36         .
CZE  1990    37         .
CZE  1990    38         .
CZE  1990    39         .
CZE  1990    40         .
CZE  1990    41         .
CZE  1990    42         .
CZE  1990    43         .
CZE  1990    44         .
CZE  1990    45         .
CZE  1990    46         .
CZE  1990    47         .
CZE  1990    48         .
CZE  1990    49         .
CZE  1990    50         .
CZE  1990    51         .
CZE  1990    52         .
CZE  1990    53         .
CZE  1990    54         .
CZE  1990    55         .
CZE  1991    12     0.000
CZE  1991    13     0.000
CZE  1991    14     0.000
CZE  1991    15     0.000
CZE  1991    16     0.001
CZE  1991    17     0.005
CZE  1991    18     0.014
CZE  1991    19     0.031
CZE  1991    20     0.055
CZE  1991    21         .
CZE  1991    22         .
CZE  1991    23         .
CZE  1991    24         .
CZE  1991    25         .
CZE  1991    26         .
CZE  1991    27         .
CZE  1991    28         .
CZE  1991    29         .
CZE  1991    30         .
CZE  1991    31         .
CZE  1991    32         .
CZE  1991    33         .
CZE  1991    34         .
CZE  1991    35         .
CZE  1991    36         .
CZE  1991    37         .
CZE  1991    38         .
CZE  1991    39         .
CZE  1991    40         .
CZE  1991    41         .
CZE  1991    42         .
CZE  1991    43         .
CZE  1991    44         .
CZE  1991    45         .
CZE  1991    46         .
CZE  1991    47         .
CZE  1991    48         .
CZE  1991    49         .
CZE  1991    50         .
CZE  1991    51         .
CZE  1991    52         .
CZE  1991    53         .
CZE  1991    54         .
CZE  1991    55         .
CZE  1992    12     0.000
CZE  1992    13     0.000
CZE  1992    14     0.000
CZE  1992    15     0.000
CZE  1992    16     0.001
CZE  1992    17     0.005
CZE  1992    18     0.014
CZE  1992    19     0.029
CZE  1992    20         .
CZE  1992    21         .
CZE  1992    22         .
CZE  1992    23         .
CZE  1992    24         .
CZE  1992    25         .
CZE  1992    26         .
CZE  1992    27         .
CZE  1992    28         .
CZE  1992    29         .
CZE  1992    30         .
CZE  1992    31         .
CZE  1992    32         .
CZE  1992    33         .
CZE  1992    34         .
CZE  1992    35         .
CZE  1992    36         .
CZE  1992    37         .
CZE  1992    38         .
CZE  1992    39         .
CZE  1992    40         .
CZE  1992    41         .
CZE  1992    42         .
CZE  1992    43         .
CZE  1992    44         .
CZE  1992    45         .
CZE  1992    46         .
CZE  1992    47         .
CZE  1992    48         .
CZE  1992    49         .
CZE  1992    50         .
CZE  1992    51         .
CZE  1992    52         .
CZE  1992    53         .
CZE  1992    54         .
CZE  1992    55         .
CZE  1993    12     0.000
CZE  1993    13     0.000
CZE  1993    14     0.000
CZE  1993    15     0.000
CZE  1993    16     0.001
CZE  1993    17     0.006
CZE  1993    18     0.014
CZE  1993    19         .
CZE  1993    20         .
CZE  1993    21         .
CZE  1993    22         .
CZE  1993    23         .
CZE  1993    24         .
CZE  1993    25         .
CZE  1993    26         .
CZE  1993    27         .
CZE  1993    28         .
CZE  1993    29         .
CZE  1993    30         .
CZE  1993    31         .
CZE  1993    32         .
CZE  1993    33         .
CZE  1993    34         .
CZE  1993    35         .
CZE  1993    36         .
CZE  1993    37         .
CZE  1993    38         .
CZE  1993    39         .
CZE  1993    40         .
CZE  1993    41         .
CZE  1993    42         .
CZE  1993    43         .
CZE  1993    44         .
CZE  1993    45         .
CZE  1993    46         .
CZE  1993    47         .
CZE  1993    48         .
CZE  1993    49         .
CZE  1993    50         .
CZE  1993    51         .
CZE  1993    52         .
CZE  1993    53         .
CZE  1993    54         .
CZE  1993    55         .
CZE  1994    12     0.000
CZE  1994    13     0.000
CZE  1994    14     0.000
CZE  1994    15     0.000
CZE  1994    16     0.002
CZE  1994    17     0.006
CZE  1994    18         .
CZE  1994    19         .
CZE  1994    20         .
CZE  1994    21         .
CZE  1994    22         .
CZE  1994    23         .
CZE  1994    24         .
CZE  1994    25         .
CZE  1994    26         .
CZE  1994    27         .
CZE  1994    28         .
CZE  1994    29         .
CZE  1994    30         .
CZE  1994    31         .
CZE  1994    32         .
CZE  1994    33         .
CZE  1994    34         .
CZE  1994    35         .
CZE  1994    36         .
CZE  1994    37         .
CZE  1994    38         .
CZE  1994    39         .
CZE  1994    40         .
CZE  1994    41         .
CZE  1994    42         .
CZE  1994    43         .
CZE  1994    44         .
CZE  1994    45         .
CZE  1994    46         .
CZE  1994    47         .
CZE  1994    48         .
CZE  1994    49         .
CZE  1994    50         .
CZE  1994    51         .
CZE  1994    52         .
CZE  1994    53         .
CZE  1994    54         .
CZE  1994    55         .
CZE  1995    12     0.000
CZE  1995    13     0.000
CZE  1995    14     0.000
CZE  1995    15     0.000
CZE  1995    16     0.002
CZE  1995    17         .
CZE  1995    18         .
CZE  1995    19         .
CZE  1995    20         .
CZE  1995    21         .
CZE  1995    22         .
CZE  1995    23         .
CZE  1995    24         .
CZE  1995    25         .
CZE  1995    26         .
CZE  1995    27         .
CZE  1995    28         .
CZE  1995    29         .
CZE  1995    30         .
CZE  1995    31         .
CZE  1995    32         .
CZE  1995    33         .
CZE  1995    34         .
CZE  1995    35         .
CZE  1995    36         .
CZE  1995    37         .
CZE  1995    38         .
CZE  1995    39         .
CZE  1995    40         .
CZE  1995    41         .
CZE  1995    42         .
CZE  1995    43         .
CZE  1995    44         .
CZE  1995    45         .
CZE  1995    46         .
CZE  1995    47         .
CZE  1995    48         .
CZE  1995    49         .
CZE  1995    50         .
CZE  1995    51         .
CZE  1995    52         .
CZE  1995    53         .
CZE  1995    54         .
CZE  1995    55         .
CZE  1996    12     0.000
CZE  1996    13     0.000
CZE  1996    14     0.000
CZE  1996    15     0.000
CZE  1996    16         .
CZE  1996    17         .
CZE  1996    18         .
CZE  1996    19         .
CZE  1996    20         .
CZE  1996    21         .
CZE  1996    22         .
CZE  1996    23         .
CZE  1996    24         .
CZE  1996    25         .
CZE  1996    26         .
CZE  1996    27         .
CZE  1996    28         .
CZE  1996    29         .
CZE  1996    30         .
CZE  1996    31         .
CZE  1996    32         .
CZE  1996    33         .
CZE  1996    34         .
CZE  1996    35         .
CZE  1996    36         .
CZE  1996    37         .
CZE  1996    38         .
CZE  1996    39         .
CZE  1996    40         .
CZE  1996    41         .
CZE  1996    42         .
CZE  1996    43         .
CZE  1996    44         .
CZE  1996    45         .
CZE  1996    46         .
CZE  1996    47         .
CZE  1996    48         .
CZE  1996    49         .
CZE  1996    50         .
CZE  1996    51         .
CZE  1996    52         .
CZE  1996    53         .
CZE  1996    54         .
CZE  1996    55         .
CZE  1997    12     0.000
CZE  1997    13     0.000
CZE  1997    14     0.000
CZE  1997    15         .
CZE  1997    16         .
CZE  1997    17         .
CZE  1997    18         .
CZE  1997    19         .
CZE  1997    20         .
CZE  1997    21         .
CZE  1997    22         .
CZE  1997    23         .
CZE  1997    24         .
CZE  1997    25         .
CZE  1997    26         .
CZE  1997    27         .
CZE  1997    28         .
CZE  1997    29         .
CZE  1997    30         .
CZE  1997    31         .
CZE  1997    32         .
CZE  1997    33         .
CZE  1997    34         .
CZE  1997    35         .
CZE  1997    36         .
CZE  1997    37         .
CZE  1997    38         .
CZE  1997    39         .
CZE  1997    40         .
CZE  1997    41         .
CZE  1997    42         .
CZE  1997    43         .
CZE  1997    44         .
CZE  1997    45         .
CZE  1997    46         .
CZE  1997    47         .
CZE  1997    48         .
CZE  1997    49         .
CZE  1997    50         .
CZE  1997    51         .
CZE  1997    52         .
CZE  1997    53         .
CZE  1997    54         .
CZE  1997    55         .
CZE  1998    12     0.000
CZE  1998    13     0.000
CZE  1998    14         .
CZE  1998    15         .
CZE  1998    16         .
CZE  1998    17         .
CZE  1998    18         .
CZE  1998    19         .
CZE  1998    20         .
CZE  1998    21         .
CZE  1998    22         .
CZE  1998    23         .
CZE  1998    24         .
CZE  1998    25         .
CZE  1998    26         .
CZE  1998    27         .
CZE  1998    28         .
CZE  1998    29         .
CZE  1998    30         .
CZE  1998    31         .
CZE  1998    32         .
CZE  1998    33         .
CZE  1998    34         .
CZE  1998    35         .
CZE  1998    36         .
CZE  1998    37         .
CZE  1998    38         .
CZE  1998    39         .
CZE  1998    40         .
CZE  1998    41         .
CZE  1998    42         .
CZE  1998    43         .
CZE  1998    44         .
CZE  1998    45         .
CZE  1998    46         .
CZE  1998    47         .
CZE  1998    48         .
CZE  1998    49         .
CZE  1998    50         .
CZE  1998    51         .
CZE  1998    52         .
CZE  1998    53         .
CZE  1998    54         .
CZE  1998    55         .
EST  1944    12         .
EST  1944    13         .
EST  1944    14         .
EST  1944    15     0.000
EST  1944    16     0.000
EST  1944    17     0.002
EST  1944    18     0.013
EST  1944    19     0.048
EST  1944    20     0.116
EST  1944    21     0.218
EST  1944    22     0.343
EST  1944    23     0.483
EST  1944    24     0.635
EST  1944    25     0.789
EST  1944    26     0.948
EST  1944    27     1.093
EST  1944    28     1.228
EST  1944    29     1.348
EST  1944    30     1.446
EST  1944    31     1.528
EST  1944    32     1.596
EST  1944    33     1.654
EST  1944    34     1.706
EST  1944    35     1.747
EST  1944    36     1.781
EST  1944    37     1.807
EST  1944    38     1.832
EST  1944    39     1.850
EST  1944    40     1.863
EST  1944    41     1.874
EST  1944    42     1.880
EST  1944    43     1.885
EST  1944    44     1.888
EST  1944    45     1.888
EST  1944    46     1.889
EST  1944    47     1.889
EST  1944    48     1.889
EST  1944    49     1.889
EST  1944    50     1.889
EST  1944    51     1.889
EST  1944    52     1.889
EST  1944    53     1.889
EST  1944    54     1.889
EST  1944    55     1.889
EST  1945    12         .
EST  1945    13         .
EST  1945    14     0.000
EST  1945    15     0.000
EST  1945    16     0.000
EST  1945    17     0.003
EST  1945    18     0.014
EST  1945    19     0.050
EST  1945    20     0.120
EST  1945    21     0.224
EST  1945    22     0.349
EST  1945    23     0.496
EST  1945    24     0.652
EST  1945    25     0.810
EST  1945    26     0.962
EST  1945    27     1.106
EST  1945    28     1.232
EST  1945    29     1.338
EST  1945    30     1.434
EST  1945    31     1.518
EST  1945    32     1.589
EST  1945    33     1.645
EST  1945    34     1.692
EST  1945    35     1.728
EST  1945    36     1.761
EST  1945    37     1.789
EST  1945    38     1.814
EST  1945    39     1.831
EST  1945    40     1.844
EST  1945    41     1.855
EST  1945    42     1.862
EST  1945    43     1.867
EST  1945    44     1.870
EST  1945    45     1.871
EST  1945    46     1.872
EST  1945    47     1.873
EST  1945    48     1.873
EST  1945    49     1.873
EST  1945    50     1.873
EST  1945    51     1.873
EST  1945    52     1.873
EST  1945    53     1.873
EST  1945    54     1.873
EST  1945    55     1.873
EST  1946    12         .
EST  1946    13     0.000
EST  1946    14     0.000
EST  1946    15     0.000
EST  1946    16     0.001
EST  1946    17     0.005
EST  1946    18     0.015
EST  1946    19     0.054
EST  1946    20     0.127
EST  1946    21     0.240
EST  1946    22     0.377
EST  1946    23     0.538
EST  1946    24     0.709
EST  1946    25     0.874
EST  1946    26     1.025
EST  1946    27     1.155
EST  1946    28     1.272
EST  1946    29     1.374
EST  1946    30     1.466
EST  1946    31     1.546
EST  1946    32     1.608
EST  1946    33     1.661
EST  1946    34     1.703
EST  1946    35     1.741
EST  1946    36     1.775
EST  1946    37     1.805
EST  1946    38     1.830
EST  1946    39     1.849
EST  1946    40     1.862
EST  1946    41     1.872
EST  1946    42     1.880
EST  1946    43     1.885
EST  1946    44     1.887
EST  1946    45     1.888
EST  1946    46     1.889
EST  1946    47     1.889
EST  1946    48     1.889
EST  1946    49     1.889
EST  1946    50     1.889
EST  1946    51     1.889
EST  1946    52     1.889
EST  1946    53     1.889
EST  1946    54     1.889
EST  1946    55     1.889
EST  1947    12     0.000
EST  1947    13     0.000
EST  1947    14     0.000
EST  1947    15     0.000
EST  1947    16     0.000
EST  1947    17     0.003
EST  1947    18     0.012
EST  1947    19     0.046
EST  1947    20     0.116
EST  1947    21     0.232
EST  1947    22     0.380
EST  1947    23     0.547
EST  1947    24     0.718
EST  1947    25     0.891
EST  1947    26     1.046
EST  1947    27     1.179
EST  1947    28     1.299
EST  1947    29     1.400
EST  1947    30     1.488
EST  1947    31     1.566
EST  1947    32     1.629
EST  1947    33     1.682
EST  1947    34     1.727
EST  1947    35     1.768
EST  1947    36     1.801
EST  1947    37     1.829
EST  1947    38     1.852
EST  1947    39     1.870
EST  1947    40     1.885
EST  1947    41     1.895
EST  1947    42     1.902
EST  1947    43     1.907
EST  1947    44     1.908
EST  1947    45     1.910
EST  1947    46     1.910
EST  1947    47     1.910
EST  1947    48     1.910
EST  1947    49     1.910
EST  1947    50     1.910
EST  1947    51     1.910
EST  1947    52     1.910
EST  1947    53     1.910
EST  1947    54     1.910
EST  1947    55     1.910
EST  1948    12     0.000
EST  1948    13     0.000
EST  1948    14     0.000
EST  1948    15     0.000
EST  1948    16     0.000
EST  1948    17     0.002
EST  1948    18     0.012
EST  1948    19     0.042
EST  1948    20     0.116
EST  1948    21     0.242
EST  1948    22     0.405
EST  1948    23     0.581
EST  1948    24     0.757
EST  1948    25     0.916
EST  1948    26     1.064
EST  1948    27     1.194
EST  1948    28     1.313
EST  1948    29     1.412
EST  1948    30     1.498
EST  1948    31     1.569
EST  1948    32     1.626
EST  1948    33     1.680
EST  1948    34     1.727
EST  1948    35     1.770
EST  1948    36     1.806
EST  1948    37     1.834
EST  1948    38     1.856
EST  1948    39     1.875
EST  1948    40     1.891
EST  1948    41     1.902
EST  1948    42     1.909
EST  1948    43     1.913
EST  1948    44     1.915
EST  1948    45     1.916
EST  1948    46     1.916
EST  1948    47     1.916
EST  1948    48     1.916
EST  1948    49     1.916
EST  1948    50     1.916
EST  1948    51     1.916
EST  1948    52     1.916
EST  1948    53     1.916
EST  1948    54     1.916
EST  1948    55     1.916
EST  1949    12     0.000
EST  1949    13     0.000
EST  1949    14     0.000
EST  1949    15     0.000
EST  1949    16     0.001
EST  1949    17     0.003
EST  1949    18     0.016
