Completed cohort fertility and completed cohort fertility by age 40
Last modified: 25/09/2014
Code Cohort     CCF     CCF40
GBR_SCO  1940     2.444     2.425
GBR_SCO  1941     2.356     2.338
GBR_SCO  1942     2.329     2.310
GBR_SCO  1943     2.328     2.309
GBR_SCO  1944     2.266     2.250
GBR_SCO  1945     2.149     2.133
GBR_SCO  1946     2.202     2.185
GBR_SCO  1947     2.220     2.203
GBR_SCO  1948     2.121     2.103
GBR_SCO  1949     2.094     2.075
GBR_SCO  1950     2.058     2.038
GBR_SCO  1951     2.016     1.994
GBR_SCO  1952     2.003     1.981
GBR_SCO  1953     1.974     1.951
GBR_SCO  1954     1.939     1.914
GBR_SCO  1955     1.933     1.906
GBR_SCO  1956     1.931     1.904
GBR_SCO  1957     1.925     1.894
GBR_SCO  1958     1.903     1.872
GBR_SCO  1959     1.888     1.857
GBR_SCO  1960     1.877     1.844
GBR_SCO  1961     1.867     1.832
GBR_SCO  1962         .     1.822
GBR_SCO  1963         .     1.804
GBR_SCO  1964         .     1.778
GBR_SCO  1965         .     1.756
GBR_SCO  1966         .     1.727
GBR_SCO  1967         .     1.728
GBR_SCO  1968         .     1.732
GBR_SCO  1969         .     1.700
GBR_SCO  1970         .     1.694
GBR_SCO  1971         .     1.689
GBR_NIR  1959     2.461     2.415
GBR_NIR  1960     2.424     2.378
GBR_NIR  1961     2.386     2.336
GBR_NIR  1962         .     2.288
GBR_NIR  1963         .     2.268
GBR_NIR  1964         .     2.227
GBR_NIR  1965         .     2.179
GBR_NIR  1966         .     2.149
GBR_NIR  1967         .     2.111
GBR_NIR  1968         .     2.091
GBR_NIR  1969         .     2.060
GBR_NIR  1970         .     2.053
GBR_NIR  1971         .     2.008
USA  1918     2.507     2.429
USA  1919     2.595     2.517
USA  1920     2.708     2.628
USA  1921     2.749     2.673
USA  1922     2.784     2.714
USA  1923     2.852     2.786
USA  1924     2.942     2.879
USA  1925     2.986     2.929
USA  1926     3.025     2.974
USA  1927     3.092     3.046
USA  1928     3.109     3.067
USA  1929     3.171     3.132
USA  1930     3.239     3.204
USA  1931     3.241     3.210
USA  1932     3.253     3.226
USA  1933     3.256     3.231
USA  1934     3.254     3.230
USA  1935     3.214     3.192
USA  1936     3.131     3.110
USA  1937     3.059     3.039
USA  1938     2.983     2.964
USA  1939     2.892     2.872
USA  1940     2.795     2.775
USA  1941     2.680     2.660
USA  1942     2.561     2.542
USA  1943     2.463     2.444
USA  1944     2.365     2.345
USA  1945     2.292     2.270
USA  1946     2.215     2.191
USA  1947     2.149     2.125
USA  1948     2.103     2.077
USA  1949     2.058     2.030
USA  1950     2.025     1.995
USA  1951     1.996     1.965
USA  1952     1.978     1.945
USA  1953     1.971     1.937
USA  1954     1.973     1.938
USA  1955     1.981     1.944
USA  1956     1.984     1.946
USA  1957     1.986     1.947
USA  1958     1.994     1.954
USA  1959     2.010     1.967
USA  1960     2.018     1.974
USA  1961         .     1.981
USA  1962         .     1.989
USA  1963         .     2.000
USA  1964         .     2.011
USA  1965         .     2.024
USA  1966         .     2.045
USA  1967         .     2.062
USA  1968         .     2.061
USA  1969         .     2.055
USA  1970         .     2.068
UKR  1944     1.839     1.816
UKR  1945     1.831     1.811
UKR  1946     1.856     1.836
UKR  1947     1.867     1.848
UKR  1948     1.886     1.869
UKR  1949     1.916     1.900
UKR  1950     1.901     1.887
UKR  1951     1.911     1.897
UKR  1952     1.883     1.871
UKR  1953     1.848     1.837
UKR  1954     1.839     1.829
UKR  1955     1.831     1.821
UKR  1956     1.824     1.814
UKR  1957     1.842     1.832
UKR  1958     1.862     1.851
UKR  1959     1.857     1.847
UKR  1960         .     1.824
UKR  1961         .     1.795
UKR  1962         .     1.762
UKR  1963         .     1.727
UKR  1964         .     1.686
UKR  1965         .     1.663
UKR  1966         .     1.656
UKR  1967         .     1.604
UKR  1968         .     1.579
UKR  1969         .     1.575
