Tempo-adjusted total fertility rates, Bongaarts-Feeney method
Last modified: 25/09/2014
Code Year    adjTFR
NLD  2006     1.786
NLD  2007     1.807
NLD  2008     1.883
NOR  1968     2.575
NOR  1969     2.493
NOR  1970     2.403
NOR  1971     2.440
NOR  1972     2.414
NOR  1973     2.339
NOR  1974     2.200
NOR  1975     2.204
NOR  1976     2.163
NOR  1977     2.065
NOR  1978     1.943
NOR  1979     1.901
NOR  1980     1.929
NOR  1981     1.872
NOR  1982     2.009
NOR  1983     1.948
NOR  1984     1.901
NOR  1985     1.934
NOR  1986     1.988
NOR  1987     2.017
NOR  1988     2.090
NOR  1989     2.126
NOR  1990     2.241
NOR  1991     2.192
NOR  1992     2.137
NOR  1993     2.159
NOR  1994     2.137
NOR  1995     2.111
NOR  1996     2.116
NOR  1997     2.115
NOR  1998     2.046
NOR  1999     2.010
NOR  2000     2.061
NOR  2001     2.063
NOR  2002     2.066
NOR  2003     2.084
NOR  2004     1.991
NOR  2005     1.971
NOR  2006     2.041
NOR  2007     1.998
NOR  2008     2.085
PRT  1960     3.037
PRT  1961     3.072
PRT  1962     3.251
PRT  1963     3.168
PRT  1964     3.246
PRT  1965     3.139
PRT  1966     3.131
PRT  1967     3.249
PRT  1968     3.149
PRT  1969     3.136
PRT  1970     3.169
PRT  1971     3.115
PRT  1972     2.872
PRT  1973     2.757
PRT  1974     2.513
PRT  1975     2.395
PRT  1976     2.531
PRT  1977     2.637
PRT  1978     2.408
PRT  1979     2.300
PRT  1980     2.299
PRT  1981     2.177
PRT  1982     2.080
PRT  1983     1.983
PRT  1984     2.080
PRT  1985     1.922
PRT  1986     1.923
PRT  1987     1.996
PRT  1988     1.940
PRT  1989     1.892
PRT  1990     1.920
PRT  1991     1.898
PRT  1992     1.824
PRT  1993     1.800
PRT  1994     1.771
PRT  1995     1.713
PRT  1996     1.664
PRT  1997     1.730
PRT  1998     1.853
PRT  1999     1.820
PRT  2000     1.730
PRT  2001     1.667
PRT  2002     1.780
PRT  2003     1.685
PRT  2004     1.587
PRT  2005     1.661
PRT  2006     1.552
PRT  2007     1.475
PRT  2008     1.594
PRT  2009     1.572
PRT  2010     1.764
PRT  2011     1.706
RUS  1960     2.290
RUS  1961     2.290
RUS  1962     2.320
RUS  1963     2.244
RUS  1964     2.244
RUS  1965     2.100
RUS  1966     2.056
RUS  1967     1.964
RUS  1968     1.934
RUS  1969     1.922
RUS  1970     1.909
RUS  1971     1.948
RUS  1972     1.937
RUS  1973     1.827
RUS  1974     1.839
RUS  1975     1.794
RUS  1976     1.789
RUS  1977     1.798
RUS  1978     1.761
RUS  1979     1.731
RUS  1980     1.797
RUS  1981     1.854
RUS  1982     1.923
RUS  1983     2.014
RUS  1984     1.953
RUS  1985     2.088
RUS  1986     2.271
RUS  1987     2.173
RUS  1988     1.959
RUS  1989     1.787
RUS  1990     1.714
RUS  1991     1.645
RUS  1992     1.499
RUS  1993     1.358
RUS  1994     1.522
RUS  1995     1.627
RUS  1996     1.525
RUS  1997     1.445
RUS  1998     1.500
RUS  1999     1.439
RUS  2000     1.509
RUS  2001     1.472
RUS  2002     1.487
RUS  2003     1.544
RUS  2004     1.563
RUS  2005     1.472
RUS  2006     1.450
RUS  2007     1.579
RUS  2008     1.731
RUS  2009     1.822
SVK  1951     3.255
SVK  1952     3.383
SVK  1953     3.235
SVK  1954     3.188
SVK  1955     3.071
SVK  1956     3.020
SVK  1957     3.065
SVK  1958     2.853
SVK  1959     2.769
SVK  1960     2.904
SVK  1961     2.866
SVK  1962     2.803
SVK  1963     3.021
SVK  1964     2.901
SVK  1965     2.721
SVK  1966     2.651
SVK  1967     2.486
SVK  1968     2.390
SVK  1969     2.560
SVK  1970     2.628
SVK  1971     2.513
SVK  1972     2.435
SVK  1973     2.498
SVK  1974     2.512
SVK  1975     2.467
SVK  1976     2.478
SVK  1977     2.382
SVK  1978     2.336
SVK  1979     2.299
SVK  1980     2.265
SVK  1981     2.250
SVK  1982     2.208
SVK  1983     2.221
SVK  1984     2.196
SVK  1985     2.258
SVK  1986     2.239
SVK  1987     2.207
SVK  1988     2.189
SVK  1989     2.094
SVK  1990     2.058
SVK  1991     2.050
SVK  1992     2.104
SVK  1993     2.139
SVK  1994     1.965
SVK  1995     1.777
SVK  1996     1.775
SVK  1997     1.842
SVK  1998     1.771
SVK  1999     1.767
SVK  2000     1.659
SVK  2001     1.520
SVK  2002     1.613
SVK  2003     1.616
SVK  2004     1.683
SVK  2005     1.695
SVK  2006     1.655
SVK  2007     1.658
SVK  2008     1.706
SVN  1984     1.837
SVN  1985     1.814
SVN  1986     1.718
SVN  1987     1.788
SVN  1988     1.856
SVN  1989     1.769
SVN  1990     1.789
SVN  1991     1.725
SVN  1992     1.725
SVN  1993     1.775
SVN  1994     1.678
SVN  1995     1.706
SVN  1996     1.724
SVN  1997     1.753
SVN  1998     1.662
SVN  1999     1.575
SVN  2000     1.653
SVN  2001     1.745
SVN  2002     1.644
SVN  2003     1.477
SVN  2004     1.604
SVN  2005     1.604
SVN  2006     1.592
SVN  2007     1.634
SVN  2008     1.710
SWE  1971     1.920
SWE  1972     1.918
SWE  1973     1.893
SWE  1974     1.960
SWE  1975     2.025
SWE  1976     1.948
SWE  1977     1.872
SWE  1978     1.931
SWE  1979     1.973
SWE  1980     1.917
SWE  1981     1.883
SWE  1982     1.880
SWE  1983     1.894
SWE  1984     1.878
SWE  1985     1.889
SWE  1986     1.997
SWE  1987     1.964
SWE  1988     2.021
SWE  1989     2.060
SWE  1990     2.251
SWE  1991     2.395
SWE  1992     2.358
SWE  1993     2.304
SWE  1994     2.221
SWE  1995     2.089
SWE  1996     1.929
SWE  1997     1.869
SWE  1998     1.828
SWE  1999     1.701
SWE  2000     1.839
SWE  2001     1.875
SWE  2002     1.943
