Female population exposure by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 25/09/2014
Code Year    ARDY   Cohort       Exposure
AUT  1966     50     1916        31645.08
AUT  1966     51     1915        39507.23
AUT  1966     52     1914        52331.01
AUT  1966     53     1913        53044.72
AUT  1966     54     1912        55207.12
AUT  1966     55     1911        52968.74
AUT  1967     12     1955        25995.30
AUT  1967     13     1954        49007.72
AUT  1967     14     1953        48258.00
AUT  1967     15     1952        48176.04
AUT  1967     16     1951        45986.46
AUT  1967     17     1950        48874.11
AUT  1967     18     1949        49747.24
AUT  1967     19     1948        52836.71
AUT  1967     20     1947        54270.34
AUT  1967     21     1946        46123.53
AUT  1967     22     1945        39082.32
AUT  1967     23     1944        51372.22
AUT  1967     24     1943        51250.47
AUT  1967     25     1942        50998.05
AUT  1967     26     1941        59599.41
AUT  1967     27     1940        64083.11
AUT  1967     28     1939        61447.62
AUT  1967     29     1938        42571.98
AUT  1967     30     1937        38483.00
AUT  1967     31     1936        38557.07
AUT  1967     32     1935        38572.59
AUT  1967     33     1934        39394.54
AUT  1967     34     1933        40541.20
AUT  1967     35     1932        42725.37
AUT  1967     36     1931        43591.21
AUT  1967     37     1930        45673.55
AUT  1967     38     1929        45002.82
AUT  1967     39     1928        46242.56
AUT  1967     40     1927        46550.32
AUT  1967     41     1926        49806.48
AUT  1967     42     1925        53730.46
AUT  1967     43     1924        55409.04
AUT  1967     44     1923        57133.73
AUT  1967     45     1922        57721.30
AUT  1967     46     1921        57600.15
AUT  1967     47     1920        55582.26
AUT  1967     48     1919        44119.67
AUT  1967     49     1918        30695.75
AUT  1967     50     1917        30906.20
AUT  1967     51     1916        31558.89
AUT  1967     52     1915        39371.89
AUT  1967     53     1914        52118.17
AUT  1967     54     1913        52804.97
AUT  1967     55     1912        54938.31
AUT  1968     12     1956        27614.13
AUT  1968     13     1955        51164.04
AUT  1968     14     1954        49217.00
AUT  1968     15     1953        48509.19
AUT  1968     16     1952        48491.60
AUT  1968     17     1951        46372.27
AUT  1968     18     1950        49174.79
AUT  1968     19     1949        49959.06
AUT  1968     20     1948        53012.33
AUT  1968     21     1947        54376.73
AUT  1968     22     1946        46127.25
AUT  1968     23     1945        38965.13
AUT  1968     24     1944        51196.30
AUT  1968     25     1943        50979.14
AUT  1968     26     1942        50755.50
AUT  1968     27     1941        59363.51
AUT  1968     28     1940        63783.66
AUT  1968     29     1939        61264.92
AUT  1968     30     1938        42533.08
AUT  1968     31     1937        38470.79
AUT  1968     32     1936        38538.97
AUT  1968     33     1935        38580.76
AUT  1968     34     1934        39408.99
AUT  1968     35     1933        40545.02
AUT  1968     36     1932        42749.40
AUT  1968     37     1931        43630.48
AUT  1968     38     1930        45646.63
AUT  1968     39     1929        44972.96
AUT  1968     40     1928        46247.58
AUT  1968     41     1927        46566.84
AUT  1968     42     1926        49781.36
AUT  1968     43     1925        53677.59
AUT  1968     44     1924        55317.60
AUT  1968     45     1923        56996.94
AUT  1968     46     1922        57577.17
AUT  1968     47     1921        57476.91
AUT  1968     48     1920        55411.36
AUT  1968     49     1919        43956.98
AUT  1968     50     1918        30610.17
AUT  1968     51     1917        30676.37
AUT  1968     52     1916        31449.43
AUT  1968     53     1915        39209.68
AUT  1968     54     1914        51870.56
AUT  1968     55     1913        52523.23
AUT  1969     12     1957        28137.27
AUT  1969     13     1956        54222.91
AUT  1969     14     1955        51303.88
AUT  1969     15     1954        49419.54
AUT  1969     16     1953        48759.44
AUT  1969     17     1952        48801.88
AUT  1969     18     1951        48140.93
AUT  1969     19     1950        49486.84
AUT  1969     20     1949        50149.18
AUT  1969     21     1948        53106.73
AUT  1969     22     1947        54394.73
AUT  1969     23     1946        45989.19
AUT  1969     24     1945        38784.26
AUT  1969     25     1944        50884.99
