Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 25/09/2014
Code Cohort   sdCMAB   sdCMAB40
GBR_SCO  1937       4.70       4.52
GBR_SCO  1938       4.65       4.47
GBR_SCO  1939       4.65       4.46
GBR_SCO  1940       4.64       4.44
GBR_SCO  1941       4.64       4.44
GBR_SCO  1942       4.68       4.48
GBR_SCO  1943       4.74       4.54
GBR_SCO  1944       4.81       4.62
GBR_SCO  1945       4.88       4.69
GBR_SCO  1946       4.95       4.76
GBR_SCO  1947       5.02       4.83
GBR_SCO  1948       5.10       4.91
GBR_SCO  1949       5.17       4.96
GBR_SCO  1950       5.23       5.01
GBR_SCO  1951       5.31       5.08
GBR_SCO  1952       5.37       5.14
GBR_SCO  1953       5.42       5.17
GBR_SCO  1954       5.48       5.22
GBR_SCO  1955       5.53       5.27
GBR_SCO  1956       5.53       5.26
GBR_SCO  1957       5.55       5.27
GBR_SCO  1958       5.58       5.29
GBR_SCO  1959       5.60       5.30
GBR_SCO  1960       5.63       5.33
GBR_SCO  1961       5.67       5.35
GBR_SCO  1962          .       5.36
GBR_SCO  1963          .       5.38
GBR_SCO  1964          .       5.39
GBR_SCO  1965          .       5.44
GBR_SCO  1966          .       5.53
GBR_SCO  1967          .       5.60
GBR_SCO  1968          .       5.67
GBR_SCO  1969          .       5.76
GBR_SCO  1970          .       5.82
GBR_SCO  1971          .       5.87
GBR_NIR  1959       5.56       5.26
GBR_NIR  1960       5.54       5.23
GBR_NIR  1961       5.57       5.23
GBR_NIR  1962          .       5.22
GBR_NIR  1963          .       5.24
GBR_NIR  1964          .       5.28
GBR_NIR  1965          .       5.32
GBR_NIR  1966          .       5.38
GBR_NIR  1967          .       5.45
GBR_NIR  1968          .       5.51
GBR_NIR  1969          .       5.58
GBR_NIR  1970          .       5.66
GBR_NIR  1971          .       5.70
USA  1918       6.12       5.66
USA  1919       6.10       5.65
USA  1920       6.06       5.62
USA  1921       6.00       5.58
USA  1922       5.95       5.55
USA  1923       5.88       5.51
USA  1924       5.81       5.46
USA  1925       5.75       5.42
USA  1926       5.67       5.37
USA  1927       5.62       5.34
USA  1928       5.56       5.30
USA  1929       5.49       5.25
USA  1930       5.42       5.20
USA  1931       5.33       5.13
USA  1932       5.25       5.06
USA  1933       5.17       4.99
USA  1934       5.10       4.93
USA  1935       5.05       4.87
USA  1936       5.00       4.82
USA  1937       4.98       4.80
USA  1938       4.97       4.79
USA  1939       5.01       4.81
USA  1940       5.05       4.85
USA  1941       5.08       4.87
USA  1942       5.11       4.90
USA  1943       5.17       4.95
USA  1944       5.27       5.04
USA  1945       5.37       5.12
USA  1946       5.44       5.18
USA  1947       5.52       5.25
USA  1948       5.63       5.35
USA  1949       5.75       5.45
USA  1950       5.85       5.54
USA  1951       5.91       5.60
USA  1952       5.96       5.64
USA  1953       6.00       5.68
USA  1954       6.04       5.71
USA  1955       6.06       5.72
USA  1956       6.08       5.74
USA  1957       6.09       5.74
USA  1958       6.09       5.74
USA  1959       6.10       5.74
USA  1960       6.11       5.74
USA  1961          .       5.75
USA  1962          .       5.76
USA  1963          .       5.76
USA  1964          .       5.78
USA  1965          .       5.81
USA  1966          .       5.85
USA  1967          .       5.88
USA  1968          .       5.91
USA  1969          .       5.93
USA  1970          .       5.95
UKR  1944       5.09       4.81
UKR  1945       5.01       4.74
UKR  1946       5.02       4.76
UKR  1947       4.99       4.75
UKR  1948       4.97       4.76
UKR  1949       5.02       4.82
UKR  1950       4.97       4.79
UKR  1951       4.96       4.79
UKR  1952       4.94       4.78
UKR  1953       4.92       4.77
UKR  1954       4.88       4.74
UKR  1955       4.83       4.68
UKR  1956       4.76       4.61
UKR  1957       4.70       4.54
UKR  1958       4.64       4.48
UKR  1959       4.58       4.42
UKR  1960          .       4.36
UKR  1961          .       4.32
UKR  1962          .       4.32
UKR  1963          .       4.33
UKR  1964          .       4.38
UKR  1965          .       4.44
UKR  1966          .       4.54
UKR  1967          .       4.67
UKR  1968          .       4.81
UKR  1969          .       4.97
