Conditional fertility rates by calendar year, age and birth order (based on parity distribution from population census)
Last modified: 25/09/2014
Code Year  Age       m1x       m2x       m3x       m4x      m5px
CAN  1991   18   0.03268   0.11879   0.08427   0.03478   0.00403
CAN  1991   19   0.03940   0.15394   0.10175   0.05016   0.00417
CAN  1991   20   0.04608   0.15752   0.13318   0.11256   0.07590
CAN  1991   21   0.05069   0.16549   0.13511   0.14022   0.07438
CAN  1991   22   0.05658   0.17371   0.12784   0.12079   0.08722
CAN  1991   23   0.06528   0.18252   0.12724   0.13069   0.12023
CAN  1991   24   0.07770   0.19004   0.11204   0.12131   0.12874
CAN  1991   25   0.09171   0.19404   0.10453   0.10754   0.13298
CAN  1991   26   0.10118   0.19884   0.09850   0.09178   0.12942
CAN  1991   27   0.10981   0.20508   0.09301   0.08223   0.11096
CAN  1991   28   0.11378   0.20789   0.08434   0.06885   0.09122
CAN  1991   29   0.10931   0.20500   0.07791   0.06497   0.09260
CAN  1991   30   0.10813   0.19810   0.07268   0.05736   0.08214
CAN  1991   31   0.09564   0.18792   0.06454   0.04906   0.07304
CAN  1991   32   0.08430   0.16312   0.05444   0.04386   0.06623
CAN  1991   33   0.07030   0.14327   0.04530   0.03673   0.05248
CAN  1991   34   0.06170   0.11852   0.03726   0.02844   0.04607
CAN  1991   35   0.05204   0.09682   0.02983   0.02477   0.04327
CAN  1991   36   0.04223   0.07491   0.02243   0.02103   0.03535
CAN  1991   37   0.03084   0.05380   0.01540   0.01478   0.03113
CAN  1991   38   0.02402   0.03949   0.01098   0.01189   0.02247
CAN  1991   39   0.01560   0.02850   0.00796   0.00814   0.01946
CAN  1991   40   0.01153   0.01797   0.00477   0.00506   0.01253
CAN  1991   41   0.00759   0.01044   0.00294   0.00306   0.00940
CAN  1991   42   0.00418   0.00502   0.00156   0.00169   0.00577
CAN  1991   43   0.00254   0.00298   0.00095   0.00121   0.00297
CAN  1991   44   0.00081   0.00128   0.00043   0.00049   0.00213
CAN  1991   45   0.00047   0.00062   0.00018   0.00027   0.00124
CAN  1991   46   0.00035   0.00041   0.00010   0.00014   0.00051
CAN  1991   47   0.00015   0.00016   0.00003   0.00004   0.00008
CAN  1991   48   0.00012   0.00012   0.00002   0.00002   0.00002
CAN  1991   49   0.00000   0.00000   0.00000   0.00000   0.00000
CAN  1991   50   0.00000   0.00000   0.00000   0.00000   0.00000
CAN  1991   51   0.00000   0.00000   0.00000   0.00000   0.00000
CAN  1991   52   0.00000   0.00000   0.00000   0.00000   0.00000
CAN  1991   53   0.00000   0.00000   0.00000   0.00000   0.00000
CAN  1991   54   0.00000   0.00000   0.00000   0.00000   0.00000
CAN  1991   55+  0.00000   0.00000   0.00000   0.00000   0.00000
CHL  1992   12-  0.00024         .         .         .         .
CHL  1992   13   0.00111   0.01046         .         .         .
CHL  1992   14   0.00576   0.01843   0.00000   0.00000   0.00000
CHL  1992   15   0.01780   0.02684   0.01178   0.00000   0.00000
CHL  1992   16   0.04057   0.04867   0.01395   0.00000   0.00446
CHL  1992   17   0.06920   0.06769   0.02586   0.00652   0.00000
CHL  1992   18   0.09204   0.08333   0.04333   0.01003   0.00446
CHL  1992   19   0.11158   0.11085   0.06208   0.03616   0.01401
CHL  1992   20   0.12647   0.12985   0.07718   0.05069   0.02039
CHL  1992   21   0.13288   0.14192   0.09228   0.05813   0.03453
CHL  1992   22   0.14045   0.14397   0.09154   0.06922   0.05185
CHL  1992   23   0.14599   0.15313   0.09592   0.07410   0.06107
CHL  1992   24   0.15106   0.16302   0.09807   0.08432   0.07341
CHL  1992   25   0.15037   0.16673   0.09462   0.07877   0.07446
CHL  1992   26   0.15387   0.18063   0.09247   0.08060   0.08455
CHL  1992   27   0.14996   0.18732   0.09714   0.07215   0.08088
CHL  1992   28   0.14924   0.19127   0.09658   0.07531   0.08533
CHL  1992   29   0.13912   0.18381   0.09204   0.07102   0.07557
CHL  1992   30   0.13208   0.19143   0.09979   0.07187   0.08121
CHL  1992   31   0.11317   0.17515   0.09029   0.06139   0.06630
CHL  1992   32   0.10205   0.17648   0.09310   0.06453   0.07543
CHL  1992   33   0.08268   0.15027   0.07822   0.05156   0.05760
CHL  1992   34   0.08348   0.13697   0.07990   0.05125   0.05785
