Scotland, Exposure to risk (cohort 5x5)     Last modified: 26-Apr-2013, MPv5 (May07)

   Year      Age       Female          Male         Total
1895-1899   65-69      639587.89    438174.62   1077762.51 
1895-1899   70-74      539268.90    323390.03    862658.93 
1895-1899   75-79      416112.50    207632.30    623744.81 
1895-1899   80-84      280963.64    108966.64    389930.28 
1895-1899   85-89      152857.59     43989.01    196846.60 
1895-1899   90-94       61141.42     12697.17     73838.58 
1895-1899   95-99       15302.73      2217.07     17519.80 
1895-1899  100-104       1951.25       178.92      2130.17 
1895-1899  105-109        105.44        12.71       118.15 
1895-1899  110+             3.97         0.00         3.97 
1900-1904      0       300158.83    308685.86    608844.70 
1900-1904    1-4      1072117.05   1082690.15   2154807.21 
1900-1904    5-9      1280972.76   1288710.70   2569683.46 
1900-1904   10-14     1233345.11   1217700.84   2451045.95 
1900-1904   15-19     1203212.08   1188070.38   2391282.46 
1900-1904   20-24     1124080.21   1073353.49   2197433.70 
1900-1904   25-29     1020015.63    933311.73   1953327.37 
1900-1904   30-34      981212.18    905972.59   1887184.77 
1900-1904   35-39      963125.61    827612.34   1790737.95 
1900-1904   40-44      959680.11    777099.52   1736779.64 
1900-1904   45-49      908650.74    832925.62   1741576.37 
1900-1904   50-54      869417.37    792016.37   1661433.75 
1900-1904   55-59      825884.19    728405.13   1554289.32 
1900-1904   60-64      770581.79    636870.88   1407452.66 
1900-1904   65-69      696958.34    521587.57   1218545.91 
1900-1904   70-74      597283.69    389544.61    986828.30 
1900-1904   75-79      469794.41    253202.08    722996.49 
1900-1904   80-84      320614.82    135759.32    456374.14 
1900-1904   85-89      180731.81     57391.95    238123.76 
1900-1904   90-94       75082.84     17310.46     92393.30 
1900-1904   95-99       19052.99      3151.79     22204.78 
1900-1904  100-104       2419.65       295.56      2715.20 
1900-1904  105-109             .        11.32       121.78 
1900-1904  110+                .         0.00         0.00 
1905-1909      0       299782.25    308063.68    607845.93 
1905-1909    1-4      1064787.70   1078584.06   2143371.76 
1905-1909    5-9      1259170.56   1272224.59   2531395.15 
1905-1909   10-14     1229966.01   1238700.35   2468666.36 
1905-1909   15-19     1174309.82   1162139.66   2336449.48 
1905-1909   20-24     1101050.03   1057055.92   2158105.95 
1905-1909   25-29     1053691.91    987984.86   2041676.77 
1905-1909   30-34     1024441.92    841799.22   1866241.14 
1905-1909   35-39     1002582.27    728751.07   1731333.34 
1905-1909   40-44      955789.36    892337.75   1848127.11 
1905-1909   45-49      920396.94    866416.94   1786813.88 
1905-1909   50-54      886624.25    819962.86   1706587.11 
1905-1909   55-59      846735.68    755721.27   1602456.95 
1905-1909   60-64      796390.32    668634.97   1465025.29 
1905-1909   65-69      725850.03    559162.13   1285012.16 
1905-1909   70-74      625418.88    425584.73   1051003.61 
1905-1909   75-79      496614.82    282733.90    779348.72 
1905-1909   80-84      352538.61    158295.93    510834.54 
1905-1909   85-89      204822.42     70234.72    275057.14 
1905-1909   90-94       87949.26     22764.06    110713.32 
1905-1909   95-99       22796.00      4617.35     27413.35 
1905-1909  100-104             .            .            . 
1905-1909  105-109             .            .            . 
1905-1909  110+                .            .            . 
1910-1914      0       277552.15    284754.32    562306.47 
1910-1914    1-4      1007302.66   1019108.60   2026411.26 
1910-1914    5-9      1213419.42   1230617.74   2444037.17 
1910-1914   10-14     1173820.41   1187219.30   2361039.71 
1910-1914   15-19     1125122.13   1118739.76   2243861.89 
1910-1914   20-24     1077366.83   1072875.96   2150242.79 
1910-1914   25-29     1043363.22    858400.42   1901763.64 
1910-1914   30-34      999641.08    729022.18   1728663.26 
1910-1914   35-39      976696.44    910535.79   1887232.23 
1910-1914   40-44      942932.61    882225.24   1825157.85 
1910-1914   45-49      913955.57    846069.21   1760024.78 
1910-1914   50-54      878914.03    800350.90   1679264.94 
1910-1914   55-59      837131.14    738037.47   1575168.61 
1910-1914   60-64      788873.48    659909.69   1448783.16 
1910-1914   65-69      717005.79    556724.79   1273730.59 
1910-1914   70-74      618724.50    429755.47   1048479.97 
1910-1914   75-79      496486.02    296240.77    792726.79 
1910-1914   80-84      357768.50    174302.22    532070.71 
1910-1914   85-89      212919.26     82444.49    295363.75 
1910-1914   90-94       92415.87     28394.73    120810.60 
1910-1914   95-99              .            .            . 
1910-1914  100-104             .            .            . 
1910-1914  105-109             .            .            . 
1910-1914  110+                .            .            . 
1915-1919      0       239791.06    248827.23    488618.29 
1915-1919    1-4       885739.88    903610.17   1789350.06 
1915-1919    5-9      1041894.92   1060281.86   2102176.77 
1915-1919   10-14     1010385.99   1026951.87   2037337.87 
1915-1919   15-19      999702.11   1010341.79   2010043.90 
1915-1919   20-24      940481.60    688168.62   1628650.22 
1915-1919   25-29      842978.03    540637.95   1383615.98 
1915-1919   30-34      863712.88    801713.44   1665426.32 
1915-1919   35-39      836887.62    771553.50   1608441.12 
1915-1919   40-44      811338.13    741615.68   1552953.81 
1915-1919   45-49      794913.85    711041.07   1505954.93 
1915-1919   50-54      756322.52    674430.16   1430752.67 
1915-1919   55-59      725862.48    628511.39   1354373.88 
1915-1919   60-64      683671.21    564174.98   1247846.19 
1915-1919   65-69      622721.95    479321.31   1102043.26 
1915-1919   70-74      543232.57    378752.10    921984.67 
1915-1919   75-79      442285.91    268067.10    710353.01 
1915-1919   80-84      321102.86    165434.46    486537.32 
1915-1919   85-89      196690.98     84268.84    280959.83 
1915-1919   90-94              .            .            . 
1915-1919   95-99              .            .            . 
1915-1919  100-104             .            .            . 
1915-1919  105-109             .            .            . 
1915-1919  110+                .            .            . 
1920-1924      0       273557.12    283058.73    556615.85 
1920-1924    1-4      1013230.39   1028955.00   2042185.39 
1920-1924    5-9      1196124.30   1209293.04   2405417.34 
1920-1924   10-14     1172153.73   1184257.55   2356411.28 
1920-1924   15-19     1148953.44   1065509.37   2214462.81 
1920-1924   20-24      932859.07    556505.81   1489364.88 
1920-1924   25-29      990699.12    943130.37   1933829.49 
1920-1924   30-34      963217.00    926351.32   1889568.33 
1920-1924   35-39      925565.43    884257.41   1809822.84 
1920-1924   40-44      893344.33    846367.85   1739712.18 
1920-1924   45-49      864376.62    810072.99   1674449.62 
1920-1924   50-54      838158.84    773245.26   1611404.09 
1920-1924   55-59      805791.33    723818.76   1529610.08 
1920-1924   60-64      760898.58    653410.06   1414308.64 
1920-1924   65-69      701400.02    565714.05   1267114.07 
1920-1924   70-74      618253.57    454759.52   1073013.09 
1920-1924   75-79      512228.54    333735.51    845964.05 
1920-1924   80-84      391042.34    221103.99    612146.33 
1920-1924   85-89              .            .            . 
1920-1924   90-94              .            .            . 
1920-1924   95-99              .            .            . 
1920-1924  100-104             .            .            . 
1920-1924  105-109             .            .            . 
1920-1924  110+                .            .            . 
1925-1929      0       229680.55    238048.19    467728.74 
1925-1929    1-4       857344.84    873244.49   1730589.33 
1925-1929    5-9      1053580.59   1067052.92   2120633.51 
1925-1929   10-14     1052867.30   1066304.66   2119171.96 
1925-1929   15-19     1026991.36    925101.17   1952092.53 
1925-1929   20-24      957375.99    869143.55   1826519.54 
1925-1929   25-29      913990.20    882945.24   1796935.45 
1925-1929   30-34      865814.43    836479.77   1702294.19 
1925-1929   35-39      832681.16    797214.07   1629895.22 
1925-1929   40-44      808594.13    769458.23   1578052.36 
1925-1929   45-49      791595.03    747045.74   1538640.76 
1925-1929   50-54      772395.88    719678.44   1492074.32 
1925-1929   55-59      744243.69    676181.56   1420425.25 
1925-1929   60-64      709547.81    622207.87   1331755.68 
1925-1929   65-69      658002.96    546477.59   1204480.55 
1925-1929   70-74      585037.83    448792.60   1033830.42 
1925-1929   75-79      491649.80    342198.78    833848.58 
1925-1929   80-84              .            .            . 
1925-1929   85-89              .            .            . 
1925-1929   90-94              .            .            . 
1925-1929   95-99              .            .            . 
1925-1929  100-104             .            .            . 
1925-1929  105-109             .            .            . 
1925-1929  110+                .            .            . 
1930-1934      0       211547.30    218808.39    430355.69 
1930-1934    1-4       802151.66    817993.09   1620144.75 
1930-1934    5-9       997797.69   1018632.08   2016429.77 
1930-1934   10-14      994946.73   1020196.13   2015142.86 
1930-1934   15-19      953071.27    885024.33   1838095.60 
1930-1934   20-24      907706.16    810932.51   1718638.67 
1930-1934   25-29      854413.53    828010.77   1682424.30 
1930-1934   30-34      810985.73    796460.84   1607446.57 
1930-1934   35-39      782005.32    750853.83   1532859.15 
1930-1934   40-44      766065.26    732086.21   1498151.46 
1930-1934   45-49      755343.72    716924.37   1472268.09 
1930-1934   50-54      738291.14    690950.85   1429241.99 
1930-1934   55-59      717794.44    657539.57   1375334.01 
1930-1934   60-64      690532.52    612908.47   1303440.99 
1930-1934   65-69      648960.61    547842.11   1196802.71 
1930-1934   70-74      589669.07    466787.59   1056456.66 
1930-1934   75-79              .            .            . 
1930-1934   80-84              .            .            . 
1930-1934   85-89              .            .            . 
1930-1934   90-94              .            .            . 
1930-1934   95-99              .            .            . 
1930-1934  100-104             .            .            . 
1930-1934  105-109             .            .            . 
1930-1934  110+                .            .            . 
1935-1939      0       206868.39    214716.34    421584.72 
1935-1939    1-4       804930.58    830641.35   1635571.93 
1935-1939    5-9       999863.79   1036464.82   2036328.61 
1935-1939   10-14      961117.20    985684.57   1946801.77 
1935-1939   15-19      921755.18    855476.39   1777231.57 
1935-1939   20-24      873658.10    777654.42   1651312.52 
1935-1939   25-29      818918.40    789008.97   1607927.38 
1935-1939   30-34      775193.85    751103.05   1526296.90 
1935-1939   35-39      761065.86    731830.30   1492896.16 
1935-1939   40-44      753782.27    723630.27   1477412.53 
1935-1939   45-49      741052.01    707119.17   1448171.18 
1935-1939   50-54      727872.47    686894.56   1414767.02 
1935-1939   55-59      712749.36    662838.49   1375587.85 
1935-1939   60-64      689207.38    625364.59   1314571.97 
1935-1939   65-69      653042.52    570927.87   1223970.39 
1935-1939   70-74              .            .            . 
1935-1939   75-79              .            .            . 
1935-1939   80-84              .            .            . 
1935-1939   85-89              .            .            . 
1935-1939   90-94              .            .            . 
1935-1939   95-99              .            .            . 
1935-1939  100-104             .            .            . 
1935-1939  105-109             .            .            . 
1935-1939  110+                .            .            . 
1940-1944      0       213146.72    222383.41    435530.14 
1940-1944    1-4       812964.50    837524.83   1650489.34 
1940-1944    5-9       974280.33   1005240.44   1979520.77 
1940-1944   10-14      951906.23    980987.32   1932893.54 
1940-1944   15-19      923471.81    923057.17   1846528.98 
1940-1944   20-24      858384.01    831924.25   1690308.26 
1940-1944   25-29      792213.64    781807.40   1574021.04 
1940-1944   30-34      771500.94    762093.74   1533594.68 
1940-1944   35-39      764593.48    751161.13   1515754.61 
1940-1944   40-44      753564.92    736880.74   1490445.67 
1940-1944   45-49      743748.73    721125.16   1464873.89 
1940-1944   50-54      736915.14    707533.78   1444448.92 
1940-1944   55-59      724639.60    685491.09   1410130.68 
1940-1944   60-64      706100.47    650680.72   1356781.19 
1940-1944   65-69              .            .            . 
1940-1944   70-74              .            .            . 
1940-1944   75-79              .            .            . 
1940-1944   80-84              .            .            . 
1940-1944   85-89              .            .            . 
1940-1944   90-94              .            .            . 
1940-1944   95-99              .            .            . 
1940-1944  100-104             .            .            . 
1940-1944  105-109             .            .            . 
1940-1944  110+                .            .            . 
1945-1949      0       233381.46    245026.63    478408.09 
1945-1949    1-4       898903.97    939307.89   1838211.86 
1945-1949    5-9      1101675.02   1152641.97   2254316.99 
1945-1949   10-14     1074069.73   1124525.99   2198595.72 
1945-1949   15-19     1010196.78   1034467.44   2044664.22 
1945-1949   20-24      939561.46    946468.62   1886030.08 
1945-1949   25-29      909417.82    918972.40   1828390.22 
1945-1949   30-34      897558.37    905170.84   1802729.21 
1945-1949   35-39      882682.36    882370.99   1765053.35 
1945-1949   40-44      874803.08    867256.69   1742059.77 
1945-1949   45-49      870819.84    861194.97   1732014.81 
1945-1949   50-54      862013.73    848202.57   1710216.29 
1945-1949   55-59      853115.07    826887.42   1680002.49 
1945-1949   60-64              .            .            . 
1945-1949   65-69              .            .            . 
1945-1949   70-74              .            .            . 
1945-1949   75-79              .            .            . 
1945-1949   80-84              .            .            . 
1945-1949   85-89              .            .            . 
1945-1949   90-94              .            .            . 
1945-1949   95-99              .            .            . 
1945-1949  100-104             .            .            . 
1945-1949  105-109             .            .            . 
1945-1949  110+                .            .            . 
1950-1954      0       214728.01    225675.16    440403.17 
1950-1954    1-4       839750.98    880543.76   1720294.74 
1950-1954    5-9      1023888.17   1073333.68   2097221.85 
1950-1954   10-14      988624.42   1037505.78   2026130.20 
1950-1954   15-19      949141.74    976178.44   1925320.18 
1950-1954   20-24      910047.52    929074.81   1839122.33 
1950-1954   25-29      874677.59    888845.95   1763523.55 
1950-1954   30-34      851392.91    854023.92   1705416.82 
1950-1954   35-39      842892.70    831866.60   1674759.30 
1950-1954   40-44      844016.32    829296.57   1673312.89 
1950-1954   45-49      840902.97    824136.87   1665039.84 
1950-1954   50-54      838178.99    813569.51   1651748.50 
1950-1954   55-59              .            .            . 
1950-1954   60-64              .            .            . 
1950-1954   65-69              .            .            . 
1950-1954   70-74              .            .            . 
1950-1954   75-79              .            .            . 
1950-1954   80-84              .            .            . 
1950-1954   85-89              .            .            . 
1950-1954   90-94              .            .            . 
1950-1954   95-99              .            .            . 
1950-1954  100-104             .            .            . 
1950-1954  105-109             .            .            . 
1950-1954  110+                .            .            . 
1955-1959      0       228416.50    239799.52    468216.02 
1955-1959    1-4       894860.93    938097.26   1832958.19 
1955-1959    5-9      1086280.09   1139889.32   2226169.41 
1955-1959   10-14     1056873.22   1109738.25   2166611.47 
1955-1959   15-19     1035761.89   1067819.48   2103581.37 
1955-1959   20-24      992428.21   1019943.12   2012371.33 
1955-1959   25-29      946245.95    959226.82   1905472.77 
1955-1959   30-34      932712.55    918599.93   1851312.48 
1955-1959   35-39      937909.11    906744.73   1844653.84 
1955-1959   40-44      937009.02    898785.37   1835794.39 
1955-1959   45-49      937404.22    892120.20   1829524.42 
1955-1959   50-54              .            .            . 
1955-1959   55-59              .            .            . 
1955-1959   60-64              .            .            . 
1955-1959   65-69              .            .            . 
1955-1959   70-74              .            .            . 
1955-1959   75-79              .            .            . 
1955-1959   80-84              .            .            . 
1955-1959   85-89              .            .            . 
1955-1959   90-94              .            .            . 
1955-1959   95-99              .            .            . 
1955-1959  100-104             .            .            . 
1955-1959  105-109             .            .            . 
1955-1959  110+                .            .            . 
1960-1964      0       241759.06    254872.76    496631.81 
1960-1964    1-4       939347.67    988167.43   1927515.10 
1960-1964    5-9      1141465.75   1199840.10   2341305.85 
1960-1964   10-14     1133522.62   1186656.99   2320179.61 
1960-1964   15-19     1123471.72   1161365.83   2284837.55 
1960-1964   20-24     1078710.70   1112512.47   2191223.18 
1960-1964   25-29     1029695.26   1028022.62   2057717.88 
1960-1964   30-34     1032919.24    994758.85   2027678.09 
1960-1964   35-39     1033555.32    975259.85   2008815.17 
1960-1964   40-44     1038064.18    969268.24   2007332.42 
1960-1964   45-49              .            .            . 
1960-1964   50-54              .            .            . 
1960-1964   55-59              .            .            . 
1960-1964   60-64              .            .            . 
1960-1964   65-69              .            .            . 
1960-1964   70-74              .            .            . 
1960-1964   75-79              .            .            . 
1960-1964   80-84              .            .            . 
1960-1964   85-89              .            .            . 
1960-1964   90-94              .            .            . 
1960-1964   95-99              .            .            . 
1960-1964  100-104             .            .            . 
1960-1964  105-109             .            .            . 
1960-1964  110+                .            .            . 
1965-1969      0       224340.39    238087.67    462428.06 
1965-1969    1-4       883337.25    934386.95   1817724.20 
1965-1969    5-9      1093353.66   1154852.59   2248206.25 
1965-1969   10-14     1086038.08   1145810.18   2231848.26 
1965-1969   15-19     1073807.87   1114767.09   2188574.96 
1965-1969   20-24     1038427.85   1058380.57   2096808.42 
1965-1969   25-29     1012001.05    990623.07   2002624.12 
1965-1969   30-34     1009560.13    951707.07   1961267.19 
1965-1969   35-39     1018745.79    945823.61   1964569.40 
1965-1969   40-44              .            .            . 
1965-1969   45-49              .            .            . 
1965-1969   50-54              .            .            . 
1965-1969   55-59              .            .            . 
1965-1969   60-64              .            .            . 
1965-1969   65-69              .            .            . 
1965-1969   70-74              .            .            . 
1965-1969   75-79              .            .            . 
1965-1969   80-84              .            .            . 
1965-1969   85-89              .            .            . 
1965-1969   90-94              .            .            . 
1965-1969   95-99              .            .            . 
1965-1969  100-104             .            .            . 
1965-1969  105-109             .            .            . 
1965-1969  110+                .            .            . 
1970-1974      0       189748.60    200399.38    390147.98 
1970-1974    1-4       749182.25    788296.42   1537478.67 
1970-1974    5-9       921469.90    967466.55   1888936.45 
1970-1974   10-14      909047.82    948730.18   1857778.00 
1970-1974   15-19      900815.12    926468.57   1827283.69 
1970-1974   20-24      906431.64    906405.47   1812837.11 
1970-1974   25-29      867824.97    828649.73   1696474.70 
1970-1974   30-34      872892.24    814297.90   1687190.14 
1970-1974   35-39              .            .            . 
1970-1974   40-44              .            .            . 
1970-1974   45-49              .            .            . 
1970-1974   50-54              .            .            . 
1970-1974   55-59              .            .            . 
1970-1974   60-64              .            .            . 
1970-1974   65-69              .            .            . 
1970-1974   70-74              .            .            . 
1970-1974   75-79              .            .            . 
1970-1974   80-84              .            .            . 
1970-1974   85-89              .            .            . 
1970-1974   90-94              .            .            . 
1970-1974   95-99              .            .            . 
1970-1974  100-104             .            .            . 
1970-1974  105-109             .            .            . 
1970-1974  110+                .            .            . 
1975-1979      0       157650.32    166612.63    324262.95 
1975-1979    1-4       616235.40    650062.22   1266297.63 
1975-1979    5-9       756148.01    796919.43   1553067.43 
1975-1979   10-14      753230.82    791451.00   1544681.81 
1975-1979   15-19      757263.59    777349.70   1534613.29 
1975-1979   20-24      776577.96    772932.94   1549510.90 
1975-1979   25-29      745011.06    741156.06   1486167.12 
1975-1979   30-34              .            .            . 
1975-1979   35-39              .            .            . 
1975-1979   40-44              .            .            . 
1975-1979   45-49              .            .            . 
1975-1979   50-54              .            .            . 
1975-1979   55-59              .            .            . 
1975-1979   60-64              .            .            . 
1975-1979   65-69              .            .            . 
1975-1979   70-74              .            .            . 
1975-1979   75-79              .            .            . 
1975-1979   80-84              .            .            . 
1975-1979   85-89              .            .            . 
1975-1979   90-94              .            .            . 
1975-1979   95-99              .            .            . 
1975-1979  100-104             .            .            . 
1975-1979  105-109             .            .            . 
1975-1979  110+                .            .            . 
