PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
GBR_SCO,01,f,0,1,C,05,04,1891,10,O,52929,.,.,.,1
GBR_SCO,01,f,1,1,C,05,04,1891,10,O,47252,.,.,.,1
GBR_SCO,01,f,2,1,C,05,04,1891,10,O,49362,.,.,.,1
GBR_SCO,01,f,3,1,C,05,04,1891,10,O,49469,.,.,.,1
GBR_SCO,01,f,4,1,C,05,04,1891,10,O,48597,.,.,.,1
GBR_SCO,01,f,5,5,C,05,04,1891,10,O,235868,.,.,.,1
GBR_SCO,01,f,10,5,C,05,04,1891,10,O,223003,.,.,.,1
GBR_SCO,01,f,15,5,C,05,04,1891,10,O,207435,.,.,.,1
GBR_SCO,01,f,20,5,C,05,04,1891,10,O,189512,.,.,.,1
GBR_SCO,01,f,25,5,C,05,04,1891,10,O,167499,.,.,.,1
GBR_SCO,01,f,30,5,C,05,04,1891,10,O,141391,.,.,.,1
GBR_SCO,01,f,35,5,C,05,04,1891,10,O,123671,.,.,.,1
GBR_SCO,01,f,40,5,C,05,04,1891,10,O,107860,.,.,.,1
GBR_SCO,01,f,45,5,C,05,04,1891,10,O,97979,.,.,.,1
GBR_SCO,01,f,50,5,C,05,04,1891,10,O,88589,.,.,.,1
GBR_SCO,01,f,55,5,C,05,04,1891,10,O,68394,.,.,.,1
GBR_SCO,01,f,60,5,C,05,04,1891,10,O,63969,.,.,.,1
GBR_SCO,01,f,65,5,C,05,04,1891,10,O,45481,.,.,.,1
GBR_SCO,01,f,70,5,C,05,04,1891,10,O,35888,.,.,.,1
GBR_SCO,01,f,75,5,C,05,04,1891,10,O,21451,.,.,.,1
GBR_SCO,01,f,80,5,C,05,04,1891,10,O,11795,.,.,.,1
GBR_SCO,01,f,85,5,C,05,04,1891,10,O,4143,.,.,.,1
GBR_SCO,01,f,90,5,C,05,04,1891,10,O,1160,.,.,.,1
GBR_SCO,01,f,95,5,C,05,04,1891,10,O,202,.,.,.,1
GBR_SCO,01,f,100,5,C,05,04,1891,10,O,28,.,.,.,1
GBR_SCO,01,f,105,+,C,05,04,1891,10,O,3,.,.,.,1
GBR_SCO,01,f,UNK,.,C,05,04,1891,10,O,0,.,.,.,1
GBR_SCO,01,f,TOT,.,C,05,04,1891,10,O,2082930,.,.,.,1
GBR_SCO,01,m,0,1,C,31,03,1901,11,O,58018,.,.,.,1
GBR_SCO,01,m,1,1,C,31,03,1901,11,O,52771,.,.,.,1
GBR_SCO,01,m,2,1,C,31,03,1901,11,O,53294,.,.,.,1
GBR_SCO,01,m,3,1,C,31,03,1901,11,O,52293,.,.,.,1
GBR_SCO,01,m,4,1,C,31,03,1901,11,O,51986,.,.,.,1
GBR_SCO,01,m,5,5,C,31,03,1901,11,O,249312,.,.,.,1
GBR_SCO,01,m,10,5,C,31,03,1901,11,O,238288,.,.,.,1
GBR_SCO,01,m,15,5,C,31,03,1901,11,O,230353,.,.,.,1
GBR_SCO,01,m,20,5,C,31,03,1901,11,O,210392,.,.,.,1
GBR_SCO,01,m,25,5,C,31,03,1901,11,O,181340,.,.,.,1
GBR_SCO,01,m,30,5,C,31,03,1901,11,O,150927,.,.,.,1
GBR_SCO,01,m,35,5,C,31,03,1901,11,O,132638,.,.,.,1
GBR_SCO,01,m,40,5,C,31,03,1901,11,O,118701,.,.,.,1
GBR_SCO,01,m,45,5,C,31,03,1901,11,O,100480,.,.,.,1
GBR_SCO,01,m,50,5,C,31,03,1901,11,O,83679,.,.,.,1
GBR_SCO,01,m,55,5,C,31,03,1901,11,O,65608,.,.,.,1
